,0
1,8
2,11
3,6
4,4
5,18
6,11
7,6
8,11
9,10
10,15
11,7
12,4
13,8
14,13
15,6
16,8
17,8
18,8
19,6
20,10
21,3
22,8
23,8
24,13
25,11
26,5
27,8
28,12
29,7
30,8
31,13
32,2
33,13
34,10
35,4
36,13
37,14
38,5
39,7
40,6
41,7
42,6
43,12
44,3
45,6
46,9
47,8
48,8
49,5
50,11
51,7
52,4
53,7
54,10
55,9
56,12
57,7
58,4
59,10
60,10
61,7
62,9
63,2
64,6
65,8
66,7
67,8
68,10
69,8
70,8
71,9
72,10
73,4
74,7
75,5
76,11
77,6
78,2
79,7
80,10
81,11
82,8
83,5
84,12
85,15
86,6
87,3
88,6
89,13
90,8
91,5
92,10
93,7
94,10
95,3
96,10
97,5
98,10
99,11
100,12
101,11
102,6
103,5
104,9
105,8
106,7
107,5
108,10
109,9
110,10
111,8
112,4
113,9
114,9
115,5
116,10
117,4
118,1
119,8
120,10
121,6
122,3
123,9
124,13
125,7
126,3
127,9
128,4
129,3
130,8
131,7
132,9
133,6
134,1
135,8
136,5
137,5
138,11
139,11
140,7
141,10
142,6
143,6
144,13
145,6
146,6
147,14
148,9
149,6
150,9
151,6
152,2
153,3
154,7
155,8
156,4
157,12
158,5
159,9
160,8
161,6
162,10
163,4
164,7
165,6
166,8
167,9
168,4
169,11
170,7
171,7
172,5
173,9
174,14
175,4
176,11
177,8
178,5
179,8
180,7
181,9
182,8
183,9
184,9
185,10
186,6
187,6
188,4
189,9
190,3
191,12
192,5
193,2
194,9
195,6
196,4
197,5
198,8
199,7
200,7
