,0
1,71
2,71
3,41
4,62
5,57
6,59
7,47
8,56
9,46
10,60
11,62
12,44
13,53
14,45
15,42
16,56
17,46
18,54
19,58
20,45
21,51
22,52
23,50
24,48
25,53
26,44
27,67
28,48
29,44
30,56
31,49
32,71
33,62
34,58
35,59
36,57
37,70
38,73
39,51
40,68
41,65
42,67
43,55
44,77
45,63
46,63
47,49
48,60
49,53
50,66
51,49
52,65
53,52
54,58
55,63
56,64
57,61
58,45
59,43
60,58
61,50
62,48
63,53
64,64
65,72
66,53
67,63
68,49
69,63
70,48
71,54
72,65
73,48
74,44
75,38
76,57
77,53
78,53
79,46
80,59
81,53
82,57
83,50
84,47
85,47
86,54
87,50
88,59
89,52
90,42
91,63
92,73
93,47
94,66
95,41
96,53
97,47
98,42
99,36
100,47
101,53
102,46
103,46
104,58
105,42
106,57
107,53
108,51
109,53
110,57
111,40
112,63
113,37
114,48
115,41
116,49
117,47
118,49
119,29
120,44
121,45
122,40
123,38
124,45
125,49
126,57
127,46
128,48
129,52
130,48
131,57
132,48
133,49
134,69
135,47
136,55
137,49
138,37
139,63
140,48
141,44
142,40
143,42
144,37
145,48
146,44
147,37
148,49
149,44
150,52
151,41
152,46
153,43
154,53
155,53
156,41
157,45
158,57
159,51
160,46
161,49
162,32
163,40
164,35
165,40
166,46
167,46
168,48
169,53
170,43
171,54
172,33
173,47
174,45
175,49
176,46
177,56
178,43
179,44
180,53
181,38
182,50
183,51
184,66
185,56
186,44
187,48
188,39
189,49
190,54
191,34
192,27
193,49
194,39
195,42
196,52
197,51
198,50
199,31
200,45
