,0
-200,7
-199,17
-198,9
-197,14
-196,8
-195,8
-194,10
-193,11
-192,12
-191,10
-190,8
-189,9
-188,22
-187,8
-186,7
-185,13
-184,17
-183,8
-182,7
-181,7
-180,10
-179,11
-178,11
-177,7
-176,11
-175,11
-174,12
-173,11
-172,9
-171,9
-170,5
-169,13
-168,7
-167,7
-166,11
-165,17
-164,8
-163,10
-162,12
-161,10
-160,7
-159,6
-158,6
-157,8
-156,9
-155,20
-154,16
-153,6
-152,13
-151,9
-150,14
-149,13
-148,9
-147,8
-146,15
-145,6
-144,11
-143,11
-142,8
-141,14
-140,16
-139,9
-138,6
-137,10
-136,9
-135,8
-134,6
-133,14
-132,8
-131,13
-130,9
-129,5
-128,10
-127,8
-126,8
-125,15
-124,17
-123,10
-122,9
-121,14
-120,12
-119,10
-118,15
-117,9
-116,9
-115,7
-114,8
-113,15
-112,10
-111,5
-110,10
-109,7
-108,16
-107,14
-106,6
-105,13
-104,7
-103,10
-102,10
-101,13
-100,15
-99,7
-98,11
-97,5
-96,7
-95,7
-94,12
-93,13
-92,12
-91,8
-90,8
-89,10
-88,10
-87,9
-86,5
-85,9
-84,11
-83,10
-82,14
-81,11
-80,14
-79,10
-78,8
-77,13
-76,7
-75,7
-74,10
-73,10
-72,10
-71,8
-70,7
-69,12
-68,11
-67,7
-66,8
-65,9
-64,11
-63,12
-62,13
-61,10
-60,7
-59,12
-58,6
-57,10
-56,6
-55,11
-54,7
-53,12
-52,9
-51,9
-50,13
-49,7
-48,10
-47,6
-46,17
-45,11
-44,11
-43,11
-42,5
-41,10
-40,9
-39,6
-38,17
-37,9
-36,6
-35,8
-34,7
-33,6
-32,11
-31,7
-30,7
-29,6
-28,8
-27,6
-26,6
-25,15
-24,6
-23,9
-22,14
-21,6
-20,19
-19,13
-18,22
-17,31
-16,29
-15,36
-14,23
-13,35
-12,35
-11,20
-10,16
-9,5
-8,19
-7,7
-6,4
-5,3
-4,13
-3,4
-2,0
-1,0
