,0
-200,26
-199,35
-198,33
-197,23
-196,36
-195,27
-194,43
-193,27
-192,43
-191,36
-190,29
-189,33
-188,23
-187,39
-186,41
-185,23
-184,30
-183,30
-182,28
-181,58
-180,37
-179,29
-178,33
-177,31
-176,34
-175,35
-174,33
-173,31
-172,39
-171,42
-170,31
-169,49
-168,35
-167,28
-166,37
-165,35
-164,33
-163,31
-162,41
-161,35
-160,24
-159,24
-158,28
-157,45
-156,37
-155,30
-154,54
-153,31
-152,36
-151,32
-150,35
-149,35
-148,40
-147,41
-146,35
-145,28
-144,46
-143,31
-142,34
-141,44
-140,45
-139,43
-138,42
-137,18
-136,35
-135,36
-134,24
-133,37
-132,44
-131,29
-130,33
-129,29
-128,46
-127,45
-126,38
-125,34
-124,38
-123,44
-122,43
-121,52
-120,35
-119,36
-118,39
-117,39
-116,41
-115,37
-114,39
-113,35
-112,39
-111,36
-110,29
-109,45
-108,43
-107,39
-106,30
-105,37
-104,41
-103,49
-102,42
-101,43
-100,40
-99,31
-98,44
-97,36
-96,39
-95,29
-94,32
-93,43
-92,41
-91,45
-90,43
-89,40
-88,41
-87,31
-86,31
-85,39
-84,52
-83,41
-82,34
-81,43
-80,56
-79,39
-78,38
-77,35
-76,51
-75,46
-74,37
-73,46
-72,43
-71,52
-70,50
-69,32
-68,39
-67,42
-66,39
-65,43
-64,44
-63,38
-62,62
-61,62
-60,42
-59,41
-58,49
-57,38
-56,45
-55,44
-54,38
-53,35
-52,44
-51,31
-50,31
-49,35
-48,39
-47,32
-46,33
-45,35
-44,34
-43,40
-42,35
-41,30
-40,44
-39,41
-38,29
-37,38
-36,36
-35,40
-34,57
-33,26
-32,27
-31,42
-30,50
-29,33
-28,44
-27,39
-26,45
-25,58
-24,37
-23,44
-22,63
-21,54
-20,51
-19,49
-18,44
-17,47
-16,49
-15,47
-14,50
-13,44
-12,23
-11,36
-10,20
-9,18
-8,31
-7,21
-6,36
-5,47
-4,24
-3,37
-2,46
-1,0
