,0
-200,21
-199,23
-198,12
-197,17
-196,13
-195,17
-194,22
-193,15
-192,13
-191,23
-190,18
-189,16
-188,22
-187,20
-186,22
-185,20
-184,29
-183,11
-182,15
-181,18
-180,13
-179,18
-178,14
-177,12
-176,19
-175,16
-174,14
-173,23
-172,17
-171,11
-170,16
-169,24
-168,17
-167,26
-166,18
-165,15
-164,23
-163,24
-162,8
-161,14
-160,20
-159,20
-158,23
-157,19
-156,15
-155,20
-154,15
-153,17
-152,28
-151,22
-150,8
-149,21
-148,22
-147,11
-146,19
-145,16
-144,13
-143,28
-142,12
-141,15
-140,17
-139,17
-138,11
-137,13
-136,22
-135,13
-134,18
-133,20
-132,15
-131,24
-130,13
-129,21
-128,25
-127,11
-126,15
-125,30
-124,21
-123,20
-122,15
-121,28
-120,22
-119,15
-118,21
-117,12
-116,33
-115,21
-114,9
-113,19
-112,12
-111,15
-110,22
-109,28
-108,14
-107,20
-106,17
-105,18
-104,28
-103,15
-102,17
-101,22
-100,23
-99,17
-98,25
-97,10
-96,13
-95,22
-94,19
-93,17
-92,29
-91,16
-90,25
-89,20
-88,12
-87,15
-86,20
-85,15
-84,22
-83,23
-82,19
-81,19
-80,26
-79,19
-78,19
-77,20
-76,18
-75,13
-74,19
-73,23
-72,14
-71,17
-70,11
-69,14
-68,18
-67,14
-66,13
-65,26
-64,13
-63,22
-62,30
-61,22
-60,12
-59,21
-58,18
-57,16
-56,26
-55,23
-54,13
-53,16
-52,20
-51,11
-50,23
-49,17
-48,22
-47,18
-46,16
-45,8
-44,17
-43,20
-42,8
-41,17
-40,17
-39,12
-38,23
-37,17
-36,6
-35,25
-34,15
-33,12
-32,20
-31,10
-30,10
-29,21
-28,19
-27,18
-26,16
-25,18
-24,20
-23,20
-22,20
-21,16
-20,25
-19,11
-18,13
-17,25
-16,13
-15,15
-14,35
-13,24
-12,31
-11,33
-10,20
-9,54
-8,110
-7,99
-6,66
-5,34
-4,31
-3,31
-2,0
-1,0
