,0
-200,12
-199,12
-198,12
-197,9
-196,19
-195,14
-194,13
-193,10
-192,13
-191,17
-190,11
-189,7
-188,10
-187,10
-186,12
-185,7
-184,12
-183,13
-182,11
-181,13
-180,9
-179,14
-178,9
-177,8
-176,7
-175,9
-174,11
-173,13
-172,15
-171,16
-170,10
-169,15
-168,11
-167,14
-166,10
-165,8
-164,11
-163,14
-162,8
-161,15
-160,11
-159,10
-158,7
-157,9
-156,16
-155,11
-154,8
-153,15
-152,8
-151,7
-150,14
-149,11
-148,19
-147,8
-146,6
-145,8
-144,12
-143,14
-142,8
-141,10
-140,15
-139,9
-138,7
-137,7
-136,7
-135,13
-134,15
-133,8
-132,7
-131,16
-130,15
-129,7
-128,15
-127,19
-126,14
-125,11
-124,16
-123,9
-122,11
-121,12
-120,14
-119,14
-118,21
-117,15
-116,10
-115,5
-114,6
-113,16
-112,11
-111,6
-110,16
-109,12
-108,19
-107,18
-106,11
-105,10
-104,12
-103,8
-102,8
-101,10
-100,18
-99,10
-98,9
-97,14
-96,13
-95,13
-94,13
-93,11
-92,17
-91,7
-90,7
-89,16
-88,8
-87,10
-86,14
-85,12
-84,7
-83,11
-82,9
-81,12
-80,12
-79,11
-78,11
-77,8
-76,14
-75,19
-74,12
-73,14
-72,13
-71,13
-70,16
-69,10
-68,16
-67,7
-66,15
-65,12
-64,16
-63,19
-62,10
-61,13
-60,9
-59,9
-58,8
-57,9
-56,12
-55,9
-54,13
-53,17
-52,9
-51,5
-50,12
-49,8
-48,11
-47,12
-46,7
-45,9
-44,17
-43,9
-42,15
-41,12
-40,11
-39,15
-38,9
-37,17
-36,7
-35,15
-34,13
-33,19
-32,11
-31,11
-30,11
-29,12
-28,15
-27,12
-26,23
-25,15
-24,22
-23,18
-22,17
-21,28
-20,20
-19,25
-18,32
-17,34
-16,34
-15,37
-14,47
-13,44
-12,36
-11,18
-10,23
-9,19
-8,22
-7,26
-6,30
-5,13
-4,9
-3,21
-2,0
-1,0
