,0
-200,17
-199,17
-198,11
-197,14
-196,13
-195,13
-194,10
-193,12
-192,11
-191,11
-190,18
-189,13
-188,14
-187,19
-186,10
-185,15
-184,9
-183,5
-182,13
-181,15
-180,15
-179,18
-178,9
-177,14
-176,13
-175,9
-174,12
-173,12
-172,17
-171,21
-170,10
-169,12
-168,12
-167,8
-166,4
-165,12
-164,19
-163,14
-162,12
-161,9
-160,10
-159,12
-158,12
-157,11
-156,10
-155,13
-154,16
-153,6
-152,15
-151,11
-150,11
-149,9
-148,14
-147,6
-146,15
-145,6
-144,7
-143,14
-142,13
-141,10
-140,9
-139,8
-138,6
-137,7
-136,13
-135,16
-134,10
-133,15
-132,2
-131,7
-130,12
-129,5
-128,7
-127,9
-126,13
-125,20
-124,8
-123,10
-122,5
-121,14
-120,6
-119,8
-118,9
-117,11
-116,8
-115,13
-114,12
-113,12
-112,14
-111,7
-110,14
-109,12
-108,8
-107,10
-106,7
-105,18
-104,9
-103,11
-102,14
-101,17
-100,7
-99,10
-98,16
-97,13
-96,7
-95,11
-94,19
-93,10
-92,12
-91,12
-90,8
-89,15
-88,10
-87,16
-86,14
-85,9
-84,10
-83,10
-82,13
-81,16
-80,12
-79,14
-78,16
-77,16
-76,10
-75,16
-74,11
-73,14
-72,8
-71,11
-70,13
-69,11
-68,11
-67,13
-66,3
-65,14
-64,13
-63,10
-62,11
-61,15
-60,8
-59,17
-58,14
-57,11
-56,14
-55,6
-54,6
-53,16
-52,7
-51,10
-50,11
-49,8
-48,16
-47,11
-46,11
-45,15
-44,15
-43,5
-42,8
-41,11
-40,10
-39,11
-38,11
-37,7
-36,4
-35,7
-34,7
-33,12
-32,9
-31,10
-30,8
-29,2
-28,9
-27,4
-26,10
-25,6
-24,10
-23,9
-22,5
-21,12
-20,12
-19,8
-18,6
-17,9
-16,3
-15,12
-14,18
-13,16
-12,26
-11,22
-10,17
-9,13
-8,16
-7,13
-6,13
-5,5
-4,6
-3,4
-2,1
-1,0
