,0
-200,51
-199,61
-198,57
-197,71
-196,64
-195,57
-194,55
-193,35
-192,56
-191,75
-190,60
-189,46
-188,54
-187,54
-186,53
-185,59
-184,45
-183,42
-182,39
-181,53
-180,66
-179,55
-178,41
-177,54
-176,62
-175,44
-174,70
-173,59
-172,59
-171,49
-170,57
-169,51
-168,55
-167,75
-166,52
-165,46
-164,52
-163,60
-162,78
-161,64
-160,54
-159,54
-158,60
-157,50
-156,44
-155,59
-154,48
-153,54
-152,54
-151,53
-150,52
-149,42
-148,51
-147,56
-146,59
-145,45
-144,66
-143,59
-142,48
-141,53
-140,59
-139,55
-138,54
-137,49
-136,52
-135,56
-134,55
-133,49
-132,51
-131,70
-130,55
-129,36
-128,58
-127,46
-126,43
-125,66
-124,50
-123,54
-122,59
-121,38
-120,43
-119,50
-118,46
-117,47
-116,44
-115,46
-114,48
-113,59
-112,54
-111,54
-110,60
-109,43
-108,47
-107,49
-106,56
-105,61
-104,52
-103,58
-102,68
-101,46
-100,55
-99,65
-98,53
-97,40
-96,41
-95,57
-94,59
-93,47
-92,55
-91,69
-90,41
-89,52
-88,50
-87,57
-86,59
-85,55
-84,58
-83,44
-82,43
-81,57
-80,72
-79,54
-78,60
-77,51
-76,48
-75,52
-74,55
-73,45
-72,48
-71,51
-70,40
-69,58
-68,50
-67,51
-66,49
-65,49
-64,55
-63,47
-62,48
-61,49
-60,50
-59,57
-58,55
-57,49
-56,61
-55,38
-54,52
-53,59
-52,44
-51,41
-50,51
-49,53
-48,54
-47,59
-46,43
-45,44
-44,61
-43,56
-42,48
-41,50
-40,33
-39,48
-38,36
-37,38
-36,53
-35,57
-34,46
-33,36
-32,49
-31,35
-30,51
-29,52
-28,42
-27,63
-26,62
-25,56
-24,38
-23,39
-22,38
-21,65
-20,48
-19,44
-18,65
-17,55
-16,60
-15,95
-14,90
-13,91
-12,81
-11,76
-10,102
-9,166
-8,153
-7,89
-6,98
-5,72
-4,50
-3,0
-2,0
-1,0
