,0
1,37
2,61
3,56
4,79
5,67
6,54
7,52
8,54
9,61
10,52
11,39
12,48
13,56
14,43
15,46
16,42
17,42
18,35
19,48
20,55
21,50
22,34
23,37
24,40
25,42
26,42
27,44
28,30
29,49
30,43
31,29
32,33
33,39
34,35
35,27
36,27
37,23
38,31
39,32
40,41
41,36
42,37
43,31
44,31
45,30
46,39
47,44
48,41
49,33
50,41
51,44
52,33
53,31
54,33
55,31
56,38
57,35
58,42
59,31
60,42
61,41
62,49
63,42
64,36
65,42
66,42
67,40
68,40
69,23
70,36
71,37
72,36
73,39
74,41
75,38
76,45
77,40
78,44
79,33
80,27
81,39
82,36
83,39
84,34
85,32
86,34
87,30
88,37
89,30
90,36
91,36
92,30
93,35
94,36
95,35
96,32
97,34
98,45
99,41
100,38
101,32
102,32
103,42
104,35
105,37
106,42
107,28
108,32
109,30
110,42
111,53
112,38
113,41
114,37
115,49
116,29
117,41
118,39
119,36
120,39
121,41
122,34
123,26
124,29
125,42
126,35
127,37
128,35
129,37
130,29
131,26
132,37
133,35
134,34
135,33
136,29
137,44
138,34
139,25
140,44
141,37
142,32
143,32
144,37
145,48
146,41
147,30
148,34
149,29
150,37
151,30
152,34
153,40
154,46
155,36
156,27
157,31
158,33
159,41
160,29
161,36
162,42
163,36
164,38
165,32
166,28
167,31
168,41
169,32
170,39
171,43
172,42
173,41
174,37
175,34
176,38
177,40
178,31
179,30
180,38
181,39
182,25
183,42
184,37
185,31
186,39
187,25
188,46
189,41
190,27
191,35
192,35
193,36
194,26
195,30
196,31
197,40
198,34
199,33
200,47
