,0
-200,12
-199,17
-198,16
-197,15
-196,10
-195,11
-194,10
-193,18
-192,12
-191,11
-190,12
-189,6
-188,16
-187,13
-186,12
-185,18
-184,16
-183,17
-182,21
-181,8
-180,13
-179,20
-178,20
-177,9
-176,15
-175,20
-174,11
-173,17
-172,11
-171,5
-170,12
-169,20
-168,16
-167,9
-166,16
-165,10
-164,16
-163,14
-162,12
-161,12
-160,12
-159,21
-158,15
-157,12
-156,6
-155,10
-154,14
-153,12
-152,14
-151,15
-150,15
-149,9
-148,15
-147,12
-146,12
-145,9
-144,14
-143,17
-142,14
-141,10
-140,19
-139,13
-138,6
-137,13
-136,17
-135,16
-134,11
-133,19
-132,12
-131,13
-130,15
-129,16
-128,14
-127,16
-126,13
-125,14
-124,25
-123,10
-122,15
-121,16
-120,6
-119,10
-118,9
-117,14
-116,16
-115,12
-114,12
-113,18
-112,15
-111,9
-110,13
-109,19
-108,8
-107,11
-106,17
-105,9
-104,17
-103,16
-102,12
-101,17
-100,12
-99,12
-98,14
-97,12
-96,16
-95,11
-94,18
-93,16
-92,21
-91,14
-90,11
-89,14
-88,19
-87,16
-86,14
-85,9
-84,14
-83,11
-82,16
-81,9
-80,15
-79,8
-78,17
-77,15
-76,14
-75,11
-74,10
-73,16
-72,11
-71,16
-70,8
-69,16
-68,18
-67,18
-66,9
-65,13
-64,19
-63,12
-62,16
-61,10
-60,9
-59,9
-58,9
-57,7
-56,15
-55,18
-54,10
-53,12
-52,15
-51,13
-50,8
-49,15
-48,11
-47,10
-46,19
-45,14
-44,12
-43,11
-42,10
-41,16
-40,12
-39,10
-38,16
-37,16
-36,8
-35,12
-34,15
-33,9
-32,8
-31,9
-30,12
-29,15
-28,7
-27,10
-26,18
-25,12
-24,15
-23,10
-22,13
-21,13
-20,15
-19,15
-18,11
-17,19
-16,17
-15,24
-14,21
-13,41
-12,24
-11,22
-10,18
-9,22
-8,34
-7,36
-6,17
-5,20
-4,19
-3,5
-2,0
-1,0
