,0
-200,10
-199,10
-198,7
-197,11
-196,11
-195,13
-194,11
-193,14
-192,10
-191,17
-190,16
-189,10
-188,10
-187,8
-186,8
-185,14
-184,7
-183,8
-182,5
-181,12
-180,11
-179,16
-178,8
-177,17
-176,12
-175,10
-174,8
-173,17
-172,13
-171,10
-170,18
-169,13
-168,13
-167,15
-166,18
-165,6
-164,14
-163,14
-162,9
-161,7
-160,7
-159,11
-158,11
-157,11
-156,8
-155,9
-154,9
-153,11
-152,12
-151,15
-150,12
-149,14
-148,10
-147,13
-146,12
-145,6
-144,8
-143,8
-142,12
-141,16
-140,10
-139,9
-138,12
-137,5
-136,12
-135,13
-134,10
-133,15
-132,5
-131,10
-130,8
-129,8
-128,13
-127,6
-126,12
-125,6
-124,12
-123,8
-122,9
-121,11
-120,7
-119,16
-118,12
-117,10
-116,15
-115,8
-114,6
-113,14
-112,13
-111,7
-110,9
-109,12
-108,14
-107,11
-106,11
-105,4
-104,17
-103,14
-102,14
-101,6
-100,10
-99,12
-98,8
-97,8
-96,8
-95,14
-94,8
-93,7
-92,10
-91,9
-90,13
-89,16
-88,9
-87,15
-86,6
-85,16
-84,15
-83,12
-82,15
-81,10
-80,9
-79,13
-78,7
-77,16
-76,12
-75,10
-74,7
-73,13
-72,11
-71,12
-70,10
-69,12
-68,13
-67,18
-66,11
-65,14
-64,4
-63,17
-62,13
-61,7
-60,7
-59,8
-58,7
-57,12
-56,11
-55,9
-54,11
-53,9
-52,7
-51,7
-50,12
-49,13
-48,13
-47,9
-46,6
-45,9
-44,3
-43,5
-42,9
-41,15
-40,15
-39,8
-38,10
-37,7
-36,12
-35,7
-34,6
-33,10
-32,16
-31,8
-30,7
-29,10
-28,4
-27,6
-26,9
-25,11
-24,10
-23,12
-22,10
-21,13
-20,19
-19,16
-18,28
-17,25
-16,25
-15,29
-14,29
-13,32
-12,31
-11,19
-10,17
-9,10
-8,21
-7,14
-6,17
-5,6
-4,7
-3,6
-2,0
-1,0
