,0
-200,51
-199,59
-198,33
-197,35
-196,32
-195,33
-194,32
-193,37
-192,38
-191,40
-190,37
-189,30
-188,48
-187,42
-186,39
-185,35
-184,41
-183,39
-182,38
-181,57
-180,41
-179,35
-178,42
-177,38
-176,31
-175,37
-174,37
-173,25
-172,43
-171,44
-170,22
-169,38
-168,40
-167,51
-166,50
-165,40
-164,37
-163,51
-162,51
-161,33
-160,43
-159,28
-158,28
-157,50
-156,45
-155,45
-154,58
-153,37
-152,24
-151,56
-150,34
-149,25
-148,36
-147,40
-146,36
-145,41
-144,43
-143,38
-142,43
-141,44
-140,51
-139,36
-138,37
-137,32
-136,51
-135,30
-134,38
-133,53
-132,46
-131,38
-130,44
-129,30
-128,38
-127,36
-126,29
-125,43
-124,50
-123,45
-122,36
-121,55
-120,42
-119,42
-118,46
-117,41
-116,38
-115,51
-114,39
-113,30
-112,42
-111,38
-110,50
-109,45
-108,44
-107,37
-106,40
-105,45
-104,46
-103,44
-102,35
-101,38
-100,51
-99,38
-98,41
-97,52
-96,41
-95,43
-94,63
-93,48
-92,24
-91,52
-90,31
-89,37
-88,46
-87,49
-86,36
-85,35
-84,37
-83,38
-82,53
-81,39
-80,46
-79,43
-78,46
-77,31
-76,50
-75,46
-74,55
-73,40
-72,34
-71,43
-70,50
-69,46
-68,36
-67,52
-66,46
-65,39
-64,54
-63,45
-62,47
-61,61
-60,42
-59,43
-58,54
-57,46
-56,35
-55,33
-54,40
-53,41
-52,48
-51,33
-50,34
-49,55
-48,21
-47,38
-46,36
-45,34
-44,43
-43,38
-42,29
-41,32
-40,35
-39,34
-38,34
-37,40
-36,42
-35,48
-34,51
-33,40
-32,42
-31,41
-30,38
-29,34
-28,49
-27,45
-26,44
-25,60
-24,40
-23,45
-22,75
-21,38
-20,45
-19,47
-18,54
-17,62
-16,41
-15,30
-14,50
-13,47
-12,21
-11,27
-10,14
-9,13
-8,18
-7,29
-6,37
-5,52
-4,19
-3,30
-2,31
-1,2
