,0
1,21
2,11
3,33
4,21
5,27
6,18
7,16
8,18
9,21
10,16
11,26
12,24
13,27
14,30
15,36
16,15
17,33
18,28
19,24
20,27
21,22
22,22
23,24
24,23
25,29
26,23
27,29
28,21
29,32
30,23
31,22
32,24
33,18
34,29
35,17
36,19
37,18
38,22
39,26
40,27
41,21
42,28
43,16
44,20
45,20
46,26
47,28
48,25
49,17
50,25
51,22
52,27
53,27
54,16
55,18
56,32
57,23
58,25
59,40
60,21
61,35
62,23
63,17
64,21
65,26
66,25
67,26
68,32
69,25
70,36
71,41
72,23
73,26
74,30
75,19
76,30
77,29
78,24
79,25
80,32
81,27
82,23
83,27
84,24
85,18
86,28
87,28
88,33
89,24
90,26
91,17
92,27
93,16
94,19
95,30
96,27
97,23
98,30
99,23
100,29
101,28
102,26
103,30
104,35
105,24
106,21
107,33
108,28
109,31
110,17
111,28
112,38
113,35
114,23
115,20
116,21
117,33
118,26
119,24
120,30
121,19
122,33
123,26
124,30
125,37
126,24
127,27
128,21
129,28
130,23
131,34
132,32
133,33
134,31
135,25
136,31
137,37
138,25
139,28
140,27
141,31
142,30
143,25
144,36
145,19
146,41
147,27
148,39
149,22
150,25
151,21
152,34
153,38
154,24
155,32
156,27
157,28
158,26
159,33
160,32
161,30
162,29
163,28
164,38
165,32
166,18
167,35
168,28
169,29
170,34
171,33
172,29
173,30
174,35
175,28
176,33
177,20
178,20
179,31
180,37
181,34
182,23
183,21
184,21
185,24
186,31
187,30
188,29
189,21
190,29
191,30
192,31
193,34
194,29
195,22
196,22
197,37
198,39
199,29
200,33
