,0
-200,27
-199,39
-198,38
-197,34
-196,30
-195,30
-194,25
-193,28
-192,32
-191,31
-190,39
-189,26
-188,37
-187,34
-186,26
-185,35
-184,43
-183,23
-182,31
-181,35
-180,37
-179,30
-178,22
-177,40
-176,35
-175,41
-174,20
-173,31
-172,27
-171,33
-170,25
-169,39
-168,31
-167,28
-166,29
-165,38
-164,28
-163,37
-162,29
-161,36
-160,25
-159,36
-158,18
-157,36
-156,33
-155,39
-154,25
-153,39
-152,31
-151,27
-150,34
-149,29
-148,38
-147,33
-146,36
-145,26
-144,37
-143,27
-142,32
-141,25
-140,30
-139,40
-138,35
-137,22
-136,27
-135,30
-134,19
-133,34
-132,20
-131,26
-130,33
-129,33
-128,35
-127,30
-126,25
-125,43
-124,34
-123,27
-122,35
-121,25
-120,32
-119,37
-118,39
-117,36
-116,36
-115,42
-114,33
-113,30
-112,21
-111,41
-110,34
-109,34
-108,36
-107,33
-106,33
-105,43
-104,35
-103,37
-102,32
-101,33
-100,35
-99,30
-98,24
-97,40
-96,40
-95,27
-94,38
-93,37
-92,29
-91,31
-90,42
-89,22
-88,46
-87,31
-86,35
-85,37
-84,34
-83,22
-82,29
-81,33
-80,30
-79,45
-78,33
-77,27
-76,35
-75,21
-74,31
-73,34
-72,27
-71,25
-70,33
-69,44
-68,36
-67,38
-66,44
-65,34
-64,40
-63,33
-62,30
-61,32
-60,51
-59,38
-58,52
-57,34
-56,36
-55,37
-54,32
-53,26
-52,32
-51,37
-50,29
-49,30
-48,34
-47,24
-46,35
-45,35
-44,31
-43,40
-42,26
-41,40
-40,39
-39,29
-38,37
-37,32
-36,38
-35,29
-34,24
-33,27
-32,23
-31,22
-30,31
-29,27
-28,35
-27,27
-26,35
-25,26
-24,24
-23,21
-22,28
-21,31
-20,29
-19,37
-18,29
-17,30
-16,30
-15,12
-14,21
-13,13
-12,7
-11,5
-10,15
-9,8
-8,13
-7,18
-6,18
-5,28
-4,17
-3,14
-2,12
-1,1
