,0
1,7
2,6
3,5
4,9
5,5
6,6
7,8
8,1
9,3
10,10
11,4
12,8
13,9
14,7
15,4
16,7
17,11
18,6
19,12
20,4
21,10
22,4
23,12
24,7
25,8
26,9
27,7
28,8
29,9
30,4
31,4
32,12
33,6
34,5
35,9
36,8
37,7
38,2
39,5
40,4
41,8
42,4
43,5
44,10
45,8
46,5
47,4
48,5
49,6
50,4
51,5
52,5
53,5
54,5
55,5
56,6
57,5
58,4
59,5
60,9
61,5
62,9
63,4
64,8
65,5
66,7
67,5
68,5
69,3
70,2
71,8
72,3
73,6
74,8
75,10
76,12
77,6
78,4
79,4
80,5
81,7
82,3
83,6
84,8
85,4
86,8
87,6
88,6
89,5
90,6
91,7
92,6
93,7
94,8
95,1
96,7
97,7
98,6
99,5
100,9
101,10
102,4
103,6
104,10
105,5
106,3
107,7
108,7
109,9
110,9
111,6
112,8
113,6
114,8
115,4
116,5
117,6
118,5
119,3
120,6
121,6
122,5
123,8
124,8
125,7
126,6
127,6
128,14
129,9
130,9
131,7
132,9
133,1
134,2
135,7
136,7
137,6
138,6
139,5
140,6
141,5
142,3
143,6
144,3
145,5
146,9
147,9
148,4
149,6
150,7
151,5
152,5
153,5
154,10
155,8
156,5
157,5
158,4
159,9
160,11
161,4
162,5
163,10
164,6
165,3
166,5
167,9
168,5
169,6
170,9
171,10
172,3
173,3
174,9
175,7
176,4
177,4
178,7
179,5
180,5
181,6
182,7
183,17
184,5
185,3
186,8
187,4
188,13
189,7
190,4
191,7
192,5
193,3
194,3
195,4
196,7
197,6
198,6
199,4
200,5
