,0
-200,27
-199,30
-198,34
-197,41
-196,32
-195,43
-194,36
-193,36
-192,30
-191,34
-190,23
-189,31
-188,28
-187,20
-186,36
-185,36
-184,27
-183,38
-182,32
-181,32
-180,40
-179,47
-178,25
-177,19
-176,44
-175,35
-174,32
-173,40
-172,17
-171,31
-170,31
-169,25
-168,36
-167,39
-166,21
-165,37
-164,28
-163,46
-162,44
-161,39
-160,30
-159,23
-158,45
-157,41
-156,22
-155,41
-154,22
-153,36
-152,32
-151,27
-150,27
-149,25
-148,26
-147,27
-146,24
-145,32
-144,21
-143,35
-142,40
-141,34
-140,32
-139,40
-138,19
-137,28
-136,29
-135,36
-134,35
-133,31
-132,34
-131,44
-130,36
-129,38
-128,26
-127,29
-126,35
-125,42
-124,24
-123,27
-122,26
-121,22
-120,35
-119,47
-118,34
-117,32
-116,34
-115,23
-114,29
-113,41
-112,28
-111,21
-110,40
-109,25
-108,49
-107,27
-106,28
-105,38
-104,32
-103,24
-102,41
-101,29
-100,35
-99,26
-98,36
-97,33
-96,21
-95,41
-94,35
-93,27
-92,41
-91,29
-90,33
-89,33
-88,27
-87,33
-86,22
-85,34
-84,26
-83,31
-82,22
-81,28
-80,41
-79,39
-78,25
-77,43
-76,26
-75,44
-74,30
-73,27
-72,32
-71,30
-70,20
-69,28
-68,35
-67,35
-66,36
-65,32
-64,25
-63,20
-62,22
-61,27
-60,37
-59,32
-58,32
-57,29
-56,29
-55,24
-54,43
-53,20
-52,32
-51,26
-50,32
-49,22
-48,41
-47,38
-46,20
-45,32
-44,29
-43,23
-42,32
-41,20
-40,25
-39,22
-38,20
-37,27
-36,24
-35,21
-34,22
-33,28
-32,22
-31,27
-30,39
-29,36
-28,30
-27,25
-26,27
-25,36
-24,40
-23,22
-22,26
-21,31
-20,43
-19,32
-18,32
-17,38
-16,38
-15,56
-14,32
-13,32
-12,17
-11,49
-10,45
-9,103
-8,93
-7,69
-6,75
-5,35
-4,34
-3,66
-2,1
-1,0
