,0
-200,11
-199,6
-198,11
-197,10
-196,7
-195,5
-194,7
-193,14
-192,4
-191,12
-190,6
-189,4
-188,10
-187,10
-186,9
-185,7
-184,11
-183,6
-182,11
-181,8
-180,13
-179,9
-178,5
-177,11
-176,11
-175,6
-174,9
-173,11
-172,11
-171,13
-170,11
-169,13
-168,12
-167,14
-166,2
-165,4
-164,11
-163,10
-162,7
-161,7
-160,10
-159,5
-158,10
-157,9
-156,5
-155,11
-154,18
-153,6
-152,18
-151,7
-150,9
-149,7
-148,8
-147,1
-146,12
-145,12
-144,6
-143,8
-142,8
-141,9
-140,11
-139,10
-138,5
-137,10
-136,7
-135,6
-134,12
-133,4
-132,9
-131,16
-130,8
-129,7
-128,10
-127,11
-126,3
-125,8
-124,14
-123,4
-122,19
-121,8
-120,7
-119,12
-118,7
-117,6
-116,12
-115,11
-114,1
-113,6
-112,6
-111,9
-110,13
-109,8
-108,6
-107,14
-106,7
-105,6
-104,12
-103,4
-102,6
-101,11
-100,7
-99,6
-98,9
-97,10
-96,7
-95,11
-94,8
-93,3
-92,13
-91,12
-90,6
-89,7
-88,5
-87,4
-86,11
-85,6
-84,5
-83,8
-82,5
-81,5
-80,10
-79,6
-78,5
-77,6
-76,10
-75,6
-74,11
-73,7
-72,2
-71,18
-70,7
-69,7
-68,12
-67,8
-66,8
-65,12
-64,15
-63,7
-62,10
-61,10
-60,2
-59,7
-58,3
-57,1
-56,7
-55,10
-54,4
-53,16
-52,11
-51,2
-50,10
-49,4
-48,9
-47,8
-46,4
-45,10
-44,9
-43,8
-42,0
-41,10
-40,5
-39,7
-38,8
-37,7
-36,2
-35,3
-34,7
-33,7
-32,13
-31,11
-30,6
-29,11
-28,6
-27,4
-26,7
-25,8
-24,3
-23,5
-22,3
-21,2
-20,4
-19,3
-18,4
-17,10
-16,8
-15,3
-14,8
-13,9
-12,16
-11,14
-10,8
-9,14
-8,18
-7,16
-6,7
-5,5
-4,5
-3,0
-2,0
-1,0
