,0
-200,29
-199,23
-198,37
-197,27
-196,32
-195,30
-194,38
-193,32
-192,31
-191,22
-190,25
-189,37
-188,35
-187,24
-186,33
-185,32
-184,17
-183,30
-182,29
-181,20
-180,21
-179,25
-178,30
-177,27
-176,21
-175,28
-174,35
-173,30
-172,26
-171,25
-170,28
-169,22
-168,37
-167,26
-166,25
-165,32
-164,24
-163,33
-162,37
-161,30
-160,22
-159,31
-158,31
-157,29
-156,25
-155,27
-154,29
-153,32
-152,26
-151,22
-150,31
-149,29
-148,31
-147,26
-146,32
-145,28
-144,33
-143,21
-142,21
-141,27
-140,30
-139,25
-138,29
-137,39
-136,25
-135,28
-134,31
-133,40
-132,29
-131,25
-130,24
-129,43
-128,34
-127,33
-126,28
-125,30
-124,30
-123,28
-122,37
-121,22
-120,31
-119,24
-118,33
-117,21
-116,27
-115,21
-114,36
-113,25
-112,28
-111,29
-110,27
-109,30
-108,34
-107,29
-106,22
-105,21
-104,39
-103,35
-102,32
-101,26
-100,27
-99,32
-98,36
-97,22
-96,34
-95,35
-94,22
-93,27
-92,32
-91,33
-90,25
-89,34
-88,19
-87,26
-86,28
-85,25
-84,20
-83,26
-82,40
-81,27
-80,22
-79,32
-78,27
-77,24
-76,27
-75,31
-74,32
-73,31
-72,37
-71,22
-70,37
-69,37
-68,42
-67,32
-66,23
-65,30
-64,29
-63,30
-62,39
-61,21
-60,20
-59,34
-58,28
-57,36
-56,36
-55,26
-54,35
-53,28
-52,47
-51,26
-50,15
-49,24
-48,31
-47,30
-46,35
-45,32
-44,27
-43,23
-42,29
-41,24
-40,20
-39,29
-38,28
-37,19
-36,28
-35,30
-34,11
-33,22
-32,36
-31,29
-30,34
-29,34
-28,21
-27,27
-26,34
-25,29
-24,32
-23,40
-22,27
-21,41
-20,26
-19,33
-18,43
-17,30
-16,27
-15,25
-14,31
-13,23
-12,37
-11,33
-10,63
-9,86
-8,101
-7,55
-6,42
-5,37
-4,29
-3,62
-2,0
-1,0
