,0
1,113
2,119
3,109
4,131
5,84
6,98
7,85
8,94
9,73
10,76
11,89
12,69
13,72
14,68
15,68
16,61
17,59
18,80
19,72
20,63
21,69
22,54
23,67
24,77
25,58
26,71
27,62
28,66
29,51
30,65
31,60
32,55
33,41
34,48
35,58
36,51
37,58
38,53
39,57
40,51
41,65
42,79
43,61
44,48
45,52
46,75
47,53
48,61
49,43
50,52
51,49
52,52
53,56
54,58
55,73
56,66
57,63
58,68
59,63
60,63
61,61
62,58
63,64
64,56
65,48
66,59
67,61
68,69
69,66
70,64
71,51
72,52
73,53
74,57
75,72
76,61
77,63
78,58
79,58
80,52
81,61
82,56
83,61
84,65
85,75
86,64
87,51
88,64
89,59
90,65
91,58
92,66
93,68
94,48
95,63
96,70
97,55
98,68
99,72
100,71
101,64
102,64
103,56
104,61
105,60
106,71
107,56
108,55
109,70
110,57
111,59
112,56
113,66
114,55
115,57
116,62
117,66
118,65
119,60
120,58
121,66
122,71
123,69
124,71
125,56
126,57
127,68
128,56
129,59
130,81
131,59
132,62
133,71
134,54
135,80
136,55
137,61
138,61
139,56
140,69
141,64
142,58
143,75
144,71
145,67
146,64
147,70
148,71
149,44
150,63
151,59
152,77
153,65
154,63
155,47
156,69
157,70
158,66
159,71
160,56
161,49
162,83
163,48
164,50
165,65
166,63
167,63
168,47
169,71
170,58
171,74
172,69
173,73
174,66
175,76
176,67
177,66
178,51
179,70
180,76
181,64
182,52
183,65
184,69
185,67
186,59
187,61
188,70
189,51
190,56
191,61
192,59
193,57
194,59
195,67
196,58
197,59
198,72
199,66
200,61
