,0
1,54
2,34
3,36
4,46
5,30
6,38
7,40
8,37
9,51
10,57
11,45
12,34
13,43
14,36
15,42
16,58
17,48
18,30
19,36
20,46
21,44
22,37
23,32
24,54
25,48
26,44
27,44
28,40
29,47
30,49
31,45
32,45
33,42
34,44
35,38
36,45
37,46
38,56
39,45
40,59
41,51
42,59
43,49
44,50
45,52
46,60
47,57
48,58
49,45
50,45
51,58
52,58
53,55
54,47
55,45
56,46
57,39
58,49
59,46
60,44
61,56
62,32
63,48
64,51
65,43
66,51
67,50
68,37
69,49
70,45
71,42
72,39
73,49
74,45
75,38
76,41
77,47
78,43
79,36
80,46
81,34
82,46
83,36
84,45
85,37
86,35
87,48
88,51
89,35
90,33
91,48
92,51
93,40
94,37
95,48
96,34
97,39
98,48
99,45
100,37
101,50
102,38
103,43
104,46
105,44
106,38
107,39
108,35
109,36
110,38
111,45
112,41
113,45
114,31
115,43
116,45
117,31
118,39
119,27
120,41
121,38
122,41
123,35
124,37
125,38
126,33
127,43
128,40
129,39
130,39
131,25
132,44
133,53
134,46
135,39
136,41
137,38
138,25
139,43
140,37
141,50
142,38
143,38
144,43
145,42
146,32
147,31
148,51
149,35
150,41
151,35
152,37
153,37
154,29
155,39
156,30
157,37
158,48
159,32
160,45
161,28
162,37
163,32
164,48
165,34
166,29
167,41
168,30
169,49
170,38
171,29
172,24
173,38
174,37
175,38
176,23
177,39
178,37
179,33
180,27
181,44
182,36
183,34
184,29
185,37
186,34
187,34
188,32
189,31
190,37
191,34
192,34
193,37
194,34
195,28
196,43
197,39
198,34
199,43
200,25
