,0
-200,22
-199,23
-198,16
-197,22
-196,20
-195,14
-194,20
-193,17
-192,14
-191,20
-190,24
-189,24
-188,26
-187,21
-186,19
-185,21
-184,20
-183,20
-182,20
-181,18
-180,20
-179,18
-178,16
-177,31
-176,24
-175,29
-174,21
-173,23
-172,26
-171,17
-170,25
-169,18
-168,16
-167,19
-166,17
-165,23
-164,25
-163,25
-162,21
-161,20
-160,23
-159,20
-158,19
-157,15
-156,14
-155,22
-154,24
-153,18
-152,24
-151,18
-150,10
-149,25
-148,26
-147,15
-146,20
-145,31
-144,23
-143,25
-142,23
-141,23
-140,15
-139,19
-138,18
-137,27
-136,23
-135,21
-134,25
-133,18
-132,29
-131,24
-130,23
-129,14
-128,28
-127,32
-126,14
-125,20
-124,16
-123,23
-122,22
-121,18
-120,16
-119,25
-118,25
-117,13
-116,18
-115,25
-114,27
-113,15
-112,21
-111,23
-110,19
-109,25
-108,25
-107,20
-106,31
-105,22
-104,11
-103,17
-102,16
-101,20
-100,30
-99,19
-98,28
-97,21
-96,22
-95,21
-94,15
-93,20
-92,22
-91,16
-90,18
-89,32
-88,19
-87,21
-86,24
-85,21
-84,24
-83,25
-82,21
-81,34
-80,19
-79,21
-78,21
-77,21
-76,27
-75,23
-74,18
-73,17
-72,29
-71,24
-70,20
-69,26
-68,21
-67,24
-66,28
-65,21
-64,14
-63,16
-62,24
-61,22
-60,16
-59,23
-58,18
-57,18
-56,25
-55,21
-54,38
-53,22
-52,29
-51,20
-50,23
-49,12
-48,24
-47,23
-46,22
-45,15
-44,18
-43,17
-42,19
-41,15
-40,27
-39,17
-38,21
-37,18
-36,25
-35,23
-34,25
-33,17
-32,24
-31,21
-30,26
-29,22
-28,28
-27,24
-26,29
-25,22
-24,23
-23,24
-22,32
-21,32
-20,30
-19,39
-18,53
-17,84
-16,96
-15,45
-14,19
-13,4
-12,12
-11,18
-10,29
-9,39
-8,58
-7,48
-6,37
-5,13
-4,25
-3,27
-2,0
-1,0
