,0
-200,20
-199,13
-198,19
-197,17
-196,15
-195,11
-194,16
-193,16
-192,6
-191,10
-190,7
-189,14
-188,16
-187,15
-186,17
-185,13
-184,15
-183,13
-182,16
-181,10
-180,13
-179,20
-178,12
-177,16
-176,24
-175,17
-174,10
-173,17
-172,16
-171,8
-170,22
-169,12
-168,11
-167,25
-166,15
-165,13
-164,18
-163,15
-162,13
-161,17
-160,12
-159,9
-158,13
-157,8
-156,13
-155,23
-154,12
-153,11
-152,21
-151,17
-150,12
-149,19
-148,19
-147,9
-146,21
-145,23
-144,13
-143,16
-142,15
-141,12
-140,8
-139,17
-138,19
-137,17
-136,14
-135,10
-134,13
-133,14
-132,22
-131,21
-130,19
-129,15
-128,12
-127,18
-126,10
-125,19
-124,9
-123,18
-122,21
-121,12
-120,17
-119,20
-118,22
-117,10
-116,13
-115,17
-114,12
-113,15
-112,17
-111,13
-110,10
-109,7
-108,15
-107,16
-106,9
-105,14
-104,22
-103,10
-102,19
-101,22
-100,21
-99,13
-98,18
-97,19
-96,18
-95,13
-94,20
-93,11
-92,27
-91,12
-90,11
-89,15
-88,20
-87,14
-86,10
-85,10
-84,14
-83,17
-82,16
-81,12
-80,18
-79,10
-78,11
-77,11
-76,12
-75,11
-74,19
-73,15
-72,19
-71,13
-70,17
-69,7
-68,17
-67,6
-66,16
-65,18
-64,17
-63,13
-62,15
-61,12
-60,18
-59,22
-58,14
-57,12
-56,11
-55,16
-54,16
-53,21
-52,11
-51,13
-50,11
-49,14
-48,14
-47,20
-46,13
-45,11
-44,25
-43,18
-42,15
-41,13
-40,18
-39,14
-38,14
-37,19
-36,13
-35,15
-34,16
-33,18
-32,23
-31,14
-30,12
-29,15
-28,12
-27,13
-26,27
-25,18
-24,24
-23,25
-22,21
-21,10
-20,17
-19,11
-18,8
-17,17
-16,12
-15,14
-14,29
-13,27
-12,25
-11,24
-10,16
-9,33
-8,52
-7,40
-6,28
-5,12
-4,21
-3,26
-2,0
-1,0
