,0
1,82
2,105
3,80
4,87
5,92
6,73
7,68
8,76
9,58
10,47
11,54
12,44
13,47
14,44
15,48
16,49
17,56
18,53
19,30
20,42
21,50
22,53
23,46
24,46
25,40
26,42
27,41
28,47
29,40
30,44
31,34
32,37
33,37
34,42
35,44
36,40
37,37
38,46
39,46
40,38
41,58
42,59
43,43
44,45
45,55
46,45
47,48
48,52
49,38
50,52
51,43
52,32
53,45
54,47
55,43
56,59
57,48
58,39
59,60
60,43
61,46
62,61
63,52
64,49
65,66
66,40
67,55
68,52
69,47
70,29
71,46
72,50
73,48
74,49
75,50
76,59
77,51
78,57
79,51
80,47
81,45
82,65
83,39
84,65
85,46
86,47
87,43
88,41
89,46
90,35
91,39
92,46
93,44
94,47
95,50
96,44
97,54
98,43
99,44
100,53
101,40
102,46
103,55
104,54
105,35
106,49
107,66
108,45
109,41
110,56
111,41
112,49
113,43
114,58
115,54
116,36
117,44
118,47
119,57
120,64
121,49
122,43
123,45
124,49
125,48
126,50
127,57
128,48
129,56
130,49
131,47
132,48
133,44
134,55
135,45
136,36
137,38
138,41
139,42
140,53
141,42
142,40
143,56
144,52
145,48
146,42
147,59
148,43
149,58
150,42
151,50
152,46
153,44
154,31
155,53
156,58
157,50
158,61
159,51
160,51
161,42
162,52
163,36
164,49
165,50
166,61
167,58
168,52
169,40
170,51
171,40
172,44
173,39
174,40
175,58
176,40
177,64
178,33
179,50
180,35
181,36
182,60
183,44
184,43
185,37
186,46
187,47
188,34
189,53
190,37
191,36
192,51
193,36
194,59
195,47
196,49
197,52
198,61
199,45
200,34
