,0
-200,9
-199,8
-198,8
-197,6
-196,5
-195,2
-194,7
-193,3
-192,2
-191,5
-190,10
-189,3
-188,9
-187,4
-186,4
-185,5
-184,2
-183,5
-182,3
-181,7
-180,5
-179,11
-178,4
-177,5
-176,9
-175,5
-174,12
-173,6
-172,4
-171,10
-170,5
-169,8
-168,8
-167,4
-166,9
-165,7
-164,9
-163,4
-162,6
-161,4
-160,5
-159,6
-158,7
-157,5
-156,9
-155,5
-154,6
-153,1
-152,9
-151,5
-150,5
-149,7
-148,6
-147,8
-146,5
-145,3
-144,3
-143,4
-142,7
-141,5
-140,5
-139,2
-138,3
-137,3
-136,8
-135,4
-134,5
-133,8
-132,8
-131,7
-130,9
-129,7
-128,6
-127,8
-126,9
-125,7
-124,7
-123,9
-122,7
-121,6
-120,6
-119,7
-118,7
-117,4
-116,9
-115,2
-114,3
-113,4
-112,5
-111,6
-110,7
-109,6
-108,6
-107,6
-106,5
-105,5
-104,6
-103,7
-102,5
-101,6
-100,5
-99,8
-98,6
-97,7
-96,4
-95,5
-94,6
-93,7
-92,3
-91,4
-90,10
-89,7
-88,5
-87,11
-86,7
-85,7
-84,6
-83,1
-82,8
-81,9
-80,5
-79,4
-78,6
-77,5
-76,12
-75,10
-74,9
-73,5
-72,4
-71,5
-70,8
-69,10
-68,6
-67,9
-66,4
-65,10
-64,3
-63,2
-62,7
-61,6
-60,9
-59,5
-58,5
-57,4
-56,6
-55,5
-54,7
-53,10
-52,2
-51,4
-50,11
-49,4
-48,7
-47,9
-46,4
-45,9
-44,7
-43,4
-42,9
-41,10
-40,2
-39,8
-38,3
-37,7
-36,7
-35,8
-34,13
-33,11
-32,8
-31,3
-30,5
-29,12
-28,5
-27,10
-26,10
-25,4
-24,6
-23,10
-22,4
-21,4
-20,6
-19,11
-18,15
-17,11
-16,13
-15,25
-14,24
-13,26
-12,12
-11,13
-10,9
-9,18
-8,9
-7,5
-6,18
-5,12
-4,1
-3,13
-2,0
-1,0
