,0
-200,86
-199,81
-198,106
-197,79
-196,79
-195,93
-194,73
-193,80
-192,82
-191,81
-190,73
-189,77
-188,87
-187,71
-186,71
-185,91
-184,74
-183,65
-182,83
-181,67
-180,46
-179,86
-178,91
-177,85
-176,88
-175,84
-174,87
-173,91
-172,75
-171,85
-170,77
-169,76
-168,74
-167,76
-166,80
-165,79
-164,77
-163,75
-162,82
-161,77
-160,78
-159,68
-158,74
-157,65
-156,72
-155,83
-154,86
-153,72
-152,85
-151,66
-150,78
-149,67
-148,86
-147,73
-146,77
-145,89
-144,73
-143,104
-142,70
-141,80
-140,72
-139,96
-138,60
-137,77
-136,68
-135,77
-134,88
-133,54
-132,70
-131,88
-130,89
-129,79
-128,81
-127,72
-126,81
-125,79
-124,72
-123,80
-122,85
-121,75
-120,67
-119,80
-118,80
-117,73
-116,80
-115,72
-114,65
-113,96
-112,81
-111,66
-110,95
-109,68
-108,73
-107,70
-106,84
-105,70
-104,77
-103,66
-102,91
-101,90
-100,77
-99,80
-98,83
-97,86
-96,83
-95,82
-94,68
-93,80
-92,76
-91,77
-90,72
-89,82
-88,88
-87,60
-86,91
-85,84
-84,75
-83,93
-82,63
-81,69
-80,119
-79,84
-78,90
-77,80
-76,73
-75,82
-74,68
-73,82
-72,61
-71,76
-70,80
-69,62
-68,81
-67,82
-66,67
-65,75
-64,83
-63,62
-62,91
-61,64
-60,73
-59,76
-58,76
-57,62
-56,79
-55,68
-54,65
-53,80
-52,89
-51,64
-50,75
-49,78
-48,73
-47,78
-46,73
-45,64
-44,66
-43,79
-42,55
-41,75
-40,83
-39,82
-38,71
-37,62
-36,82
-35,75
-34,78
-33,86
-32,98
-31,77
-30,85
-29,101
-28,89
-27,77
-26,92
-25,70
-24,76
-23,74
-22,92
-21,89
-20,127
-19,128
-18,195
-17,245
-16,237
-15,185
-14,128
-13,70
-12,66
-11,69
-10,102
-9,141
-8,183
-7,153
-6,137
-5,75
-4,79
-3,0
-2,0
-1,0
