,0
-200,24
-199,19
-198,21
-197,17
-196,17
-195,12
-194,14
-193,18
-192,17
-191,19
-190,37
-189,17
-188,19
-187,22
-186,19
-185,21
-184,16
-183,30
-182,17
-181,17
-180,17
-179,23
-178,11
-177,15
-176,23
-175,26
-174,14
-173,17
-172,19
-171,14
-170,20
-169,24
-168,15
-167,25
-166,16
-165,17
-164,11
-163,20
-162,15
-161,21
-160,18
-159,19
-158,21
-157,27
-156,17
-155,14
-154,21
-153,11
-152,24
-151,15
-150,17
-149,29
-148,21
-147,19
-146,23
-145,12
-144,19
-143,14
-142,18
-141,16
-140,16
-139,12
-138,16
-137,17
-136,15
-135,12
-134,21
-133,17
-132,16
-131,14
-130,22
-129,23
-128,16
-127,16
-126,19
-125,16
-124,18
-123,13
-122,16
-121,13
-120,17
-119,20
-118,12
-117,17
-116,16
-115,23
-114,17
-113,19
-112,16
-111,14
-110,14
-109,12
-108,9
-107,13
-106,25
-105,13
-104,14
-103,22
-102,9
-101,14
-100,18
-99,14
-98,22
-97,9
-96,14
-95,12
-94,15
-93,13
-92,10
-91,17
-90,13
-89,21
-88,19
-87,10
-86,17
-85,22
-84,13
-83,17
-82,33
-81,20
-80,16
-79,15
-78,12
-77,23
-76,18
-75,11
-74,23
-73,17
-72,15
-71,20
-70,12
-69,9
-68,18
-67,22
-66,15
-65,17
-64,6
-63,16
-62,22
-61,23
-60,22
-59,11
-58,26
-57,10
-56,13
-55,7
-54,15
-53,19
-52,18
-51,9
-50,9
-49,19
-48,13
-47,15
-46,15
-45,20
-44,19
-43,25
-42,16
-41,10
-40,11
-39,8
-38,12
-37,17
-36,9
-35,27
-34,19
-33,6
-32,23
-31,12
-30,14
-29,20
-28,19
-27,15
-26,13
-25,15
-24,14
-23,20
-22,6
-21,27
-20,35
-19,25
-18,21
-17,48
-16,50
-15,48
-14,45
-13,43
-12,58
-11,38
-10,29
-9,20
-8,46
-7,43
-6,19
-5,12
-4,23
-3,3
-2,0
-1,0
