,0
1,107
2,142
3,105
4,105
5,117
6,93
7,104
8,89
9,77
10,69
11,78
12,69
13,58
14,63
15,73
16,69
17,80
18,83
19,47
20,59
21,81
22,73
23,70
24,56
25,59
26,72
27,71
28,69
29,61
30,62
31,54
32,61
33,57
34,56
35,70
36,71
37,54
38,72
39,73
40,60
41,81
42,85
43,62
44,69
45,76
46,64
47,62
48,70
49,57
50,74
51,73
52,49
53,62
54,71
55,58
56,85
57,67
58,64
59,86
60,67
61,68
62,83
63,87
64,82
65,91
66,60
67,76
68,89
69,80
70,56
71,83
72,74
73,74
74,74
75,81
76,83
77,75
78,77
79,69
80,74
81,66
82,84
83,66
84,92
85,67
86,70
87,68
88,61
89,66
90,64
91,61
92,83
93,71
94,75
95,73
96,62
97,75
98,64
99,79
100,88
101,64
102,72
103,79
104,90
105,70
106,78
107,93
108,78
109,60
110,79
111,66
112,70
113,76
114,102
115,73
116,66
117,69
118,77
119,76
120,87
121,78
122,70
123,73
124,74
125,76
126,72
127,82
128,75
129,87
130,80
131,69
132,75
133,62
134,77
135,80
136,58
137,73
138,85
139,72
140,73
141,69
142,66
143,77
144,82
145,64
146,74
147,93
148,77
149,91
150,65
151,72
152,69
153,70
154,56
155,86
156,87
157,74
158,100
159,81
160,74
161,76
162,80
163,66
164,75
165,80
166,91
167,81
168,79
169,62
170,65
171,70
172,63
173,73
174,66
175,82
176,64
177,93
178,60
179,85
180,61
181,59
182,89
183,76
184,62
185,64
186,71
187,68
188,60
189,87
190,63
191,60
192,78
193,61
194,83
195,80
196,71
197,81
198,0
199,0
200,0
