,0
1,6
2,7
3,13
4,8
5,13
6,10
7,12
8,10
9,7
10,7
11,8
12,9
13,5
14,10
15,11
16,11
17,11
18,13
19,8
20,15
21,11
22,9
23,7
24,10
25,9
26,7
27,7
28,9
29,7
30,10
31,8
32,17
33,4
34,6
35,16
36,8
37,6
38,3
39,11
40,12
41,12
42,6
43,8
44,9
45,9
46,5
47,7
48,10
49,5
50,8
51,7
52,8
53,10
54,7
55,9
56,9
57,8
58,8
59,10
60,12
61,4
62,8
63,6
64,13
65,12
66,13
67,7
68,7
69,14
70,6
71,9
72,10
73,10
74,10
75,9
76,7
77,10
78,7
79,8
80,13
81,18
82,6
83,15
84,8
85,10
86,8
87,10
88,13
89,9
90,11
91,6
92,10
93,6
94,10
95,6
96,10
97,13
98,8
99,6
100,6
101,11
102,10
103,7
104,7
105,8
106,9
107,9
108,12
109,12
110,13
111,9
112,4
113,6
114,9
115,10
116,11
117,6
118,8
119,11
120,8
121,7
122,11
123,6
124,5
125,14
126,4
127,5
128,11
129,10
130,15
131,8
132,10
133,6
134,14
135,5
136,10
137,8
138,6
139,10
140,11
141,14
142,5
143,6
144,12
145,5
146,7
147,10
148,7
149,10
150,5
151,9
152,8
153,12
154,7
155,17
156,8
157,10
158,15
159,15
160,5
161,10
162,18
163,7
164,8
165,11
166,7
167,6
168,13
169,12
170,11
171,10
172,8
173,3
174,6
175,7
176,11
177,13
178,16
179,14
180,12
181,12
182,11
183,8
184,11
185,11
186,8
187,8
188,13
189,10
190,3
191,9
192,6
193,9
194,9
195,12
196,6
197,8
198,9
199,6
200,13
