,0
1,11
2,7
3,5
4,17
5,14
6,14
7,12
8,15
9,8
10,14
11,15
12,18
13,12
14,6
15,12
16,11
17,13
18,9
19,24
20,15
21,8
22,14
23,10
24,10
25,12
26,13
27,15
28,11
29,10
30,8
31,12
32,11
33,10
34,7
35,6
36,9
37,6
38,9
39,11
40,11
41,8
42,6
43,7
44,11
45,14
46,8
47,13
48,19
49,9
50,14
51,17
52,8
53,13
54,17
55,8
56,5
57,11
58,12
59,17
60,14
61,10
62,10
63,12
64,12
65,12
66,12
67,9
68,14
69,19
70,15
71,14
72,16
73,5
74,17
75,13
76,17
77,14
78,18
79,9
80,9
81,10
82,15
83,11
84,10
85,15
86,15
87,12
88,8
89,19
90,17
91,10
92,11
93,9
94,13
95,18
96,11
97,19
98,19
99,14
100,11
101,16
102,13
103,7
104,18
105,11
106,14
107,11
108,9
109,17
110,15
111,12
112,10
113,15
114,19
115,12
116,18
117,12
118,13
119,14
120,14
121,14
122,17
123,13
124,14
125,19
126,16
127,18
128,20
129,16
130,20
131,17
132,14
133,15
134,17
135,14
136,15
137,12
138,10
139,16
140,18
141,19
142,17
143,21
144,19
145,18
146,11
147,14
148,14
149,16
150,21
151,16
152,11
153,19
154,11
155,18
156,12
157,5
158,23
159,16
160,18
161,13
162,19
163,13
164,20
165,20
166,16
167,19
168,25
169,19
170,27
171,16
172,14
173,21
174,23
175,22
176,22
177,21
178,14
179,17
180,13
181,25
182,23
183,15
184,24
185,17
186,19
187,20
188,18
189,15
190,11
191,18
192,14
193,16
194,21
195,22
196,18
197,18
198,11
199,17
200,19
