,0
-200,34
-199,36
-198,34
-197,33
-196,26
-195,29
-194,24
-193,35
-192,35
-191,38
-190,35
-189,36
-188,34
-187,46
-186,31
-185,41
-184,26
-183,31
-182,38
-181,38
-180,32
-179,41
-178,34
-177,27
-176,37
-175,39
-174,37
-173,28
-172,28
-171,32
-170,34
-169,38
-168,21
-167,36
-166,38
-165,40
-164,41
-163,30
-162,26
-161,33
-160,45
-159,36
-158,43
-157,35
-156,25
-155,48
-154,31
-153,32
-152,31
-151,42
-150,30
-149,42
-148,29
-147,28
-146,33
-145,29
-144,34
-143,26
-142,36
-141,32
-140,40
-139,26
-138,18
-137,25
-136,37
-135,32
-134,41
-133,34
-132,47
-131,30
-130,23
-129,39
-128,33
-127,29
-126,35
-125,34
-124,37
-123,36
-122,39
-121,50
-120,27
-119,39
-118,39
-117,33
-116,31
-115,36
-114,34
-113,25
-112,28
-111,27
-110,33
-109,27
-108,36
-107,38
-106,35
-105,28
-104,36
-103,30
-102,29
-101,33
-100,37
-99,38
-98,42
-97,34
-96,33
-95,39
-94,34
-93,30
-92,27
-91,25
-90,37
-89,34
-88,37
-87,32
-86,33
-85,48
-84,47
-83,39
-82,35
-81,36
-80,28
-79,23
-78,15
-77,41
-76,29
-75,32
-74,38
-73,37
-72,37
-71,37
-70,42
-69,37
-68,38
-67,39
-66,38
-65,31
-64,24
-63,37
-62,39
-61,33
-60,31
-59,44
-58,43
-57,42
-56,29
-55,36
-54,31
-53,36
-52,45
-51,37
-50,39
-49,44
-48,39
-47,25
-46,32
-45,26
-44,30
-43,33
-42,29
-41,33
-40,38
-39,41
-38,38
-37,41
-36,28
-35,43
-34,33
-33,42
-32,46
-31,42
-30,44
-29,49
-28,37
-27,38
-26,43
-25,51
-24,53
-23,45
-22,43
-21,47
-20,65
-19,74
-18,95
-17,139
-16,150
-15,84
-14,36
-13,19
-12,18
-11,22
-10,42
-9,84
-8,109
-7,109
-6,89
-5,61
-4,68
-3,71
-2,0
-1,0
