,0
1,8
2,21
3,13
4,17
5,15
6,13
7,15
8,13
9,27
10,9
11,19
12,20
13,21
14,9
15,21
16,12
17,17
18,16
19,13
20,20
21,13
22,18
23,18
24,14
25,11
26,8
27,18
28,8
29,13
30,19
31,15
32,12
33,17
34,8
35,13
36,27
37,11
38,17
39,16
40,11
41,13
42,18
43,13
44,22
45,15
46,16
47,12
48,24
49,12
50,16
51,16
52,13
53,21
54,20
55,13
56,9
57,15
58,15
59,18
60,10
61,10
62,24
63,21
64,8
65,18
66,24
67,16
68,19
69,14
70,16
71,18
72,19
73,23
74,17
75,26
76,17
77,25
78,18
79,13
80,19
81,22
82,13
83,23
84,15
85,17
86,20
87,17
88,14
89,10
90,20
91,12
92,19
93,23
94,28
95,17
96,15
97,22
98,29
99,26
100,18
101,18
102,16
103,13
104,25
105,27
106,15
107,17
108,21
109,17
110,17
111,22
112,10
113,13
114,13
115,17
116,23
117,26
118,21
119,24
120,20
121,21
122,15
123,18
124,18
125,22
126,28
127,20
128,14
129,22
130,16
131,26
132,25
133,21
134,18
135,18
136,16
137,19
138,25
139,14
140,18
141,24
142,19
143,24
144,18
145,15
146,13
147,29
148,14
149,17
150,29
151,26
152,17
153,26
154,17
155,22
156,18
157,17
158,17
159,16
160,19
161,20
162,24
163,11
164,26
165,23
166,25
167,25
168,21
169,24
170,20
171,32
172,22
173,20
174,28
175,23
176,20
177,24
178,19
179,24
180,23
181,17
182,14
183,24
184,24
185,25
186,28
187,16
188,22
189,19
190,18
191,20
192,25
193,18
194,27
195,26
196,28
197,16
198,27
199,24
200,14
