,0
-200,8
-199,2
-198,6
-197,7
-196,4
-195,5
-194,10
-193,4
-192,8
-191,8
-190,11
-189,8
-188,10
-187,7
-186,3
-185,8
-184,9
-183,8
-182,10
-181,3
-180,4
-179,12
-178,13
-177,5
-176,3
-175,10
-174,9
-173,12
-172,5
-171,5
-170,12
-169,6
-168,8
-167,11
-166,6
-165,10
-164,13
-163,8
-162,5
-161,6
-160,5
-159,3
-158,15
-157,5
-156,5
-155,12
-154,6
-153,2
-152,6
-151,7
-150,5
-149,11
-148,4
-147,3
-146,4
-145,5
-144,6
-143,9
-142,6
-141,9
-140,9
-139,3
-138,8
-137,4
-136,9
-135,10
-134,10
-133,6
-132,6
-131,12
-130,6
-129,9
-128,10
-127,4
-126,3
-125,12
-124,8
-123,11
-122,10
-121,9
-120,5
-119,4
-118,10
-117,6
-116,9
-115,7
-114,8
-113,7
-112,9
-111,7
-110,16
-109,5
-108,8
-107,11
-106,11
-105,4
-104,7
-103,7
-102,3
-101,9
-100,3
-99,8
-98,7
-97,6
-96,7
-95,8
-94,9
-93,3
-92,8
-91,5
-90,6
-89,4
-88,5
-87,6
-86,8
-85,5
-84,1
-83,8
-82,5
-81,3
-80,3
-79,5
-78,3
-77,3
-76,13
-75,8
-74,8
-73,7
-72,6
-71,9
-70,9
-69,6
-68,11
-67,4
-66,6
-65,5
-64,5
-63,9
-62,9
-61,3
-60,7
-59,7
-58,10
-57,4
-56,7
-55,2
-54,4
-53,11
-52,5
-51,4
-50,7
-49,4
-48,5
-47,5
-46,6
-45,4
-44,8
-43,9
-42,4
-41,3
-40,6
-39,3
-38,10
-37,8
-36,4
-35,6
-34,9
-33,4
-32,4
-31,2
-30,7
-29,4
-28,7
-27,6
-26,6
-25,6
-24,5
-23,6
-22,7
-21,5
-20,6
-19,6
-18,2
-17,4
-16,11
-15,7
-14,8
-13,9
-12,14
-11,16
-10,10
-9,8
-8,21
-7,7
-6,7
-5,3
-4,5
-3,1
-2,0
-1,0
