,0
1,13
2,39
3,28
4,21
5,22
6,34
7,19
8,23
9,21
10,9
11,17
12,24
13,22
14,23
15,25
16,18
17,19
18,14
19,15
20,18
21,28
22,17
23,10
24,21
25,16
26,18
27,11
28,9
29,12
30,19
31,16
32,10
33,14
34,15
35,17
36,16
37,10
38,15
39,23
40,13
41,15
42,23
43,12
44,17
45,13
46,10
47,10
48,18
49,15
50,11
51,14
52,11
53,18
54,16
55,22
56,12
57,11
58,20
59,17
60,18
61,21
62,21
63,19
64,14
65,17
66,29
67,15
68,20
69,16
70,12
71,22
72,22
73,17
74,17
75,20
76,7
77,14
78,16
79,17
80,15
81,33
82,6
83,10
84,29
85,12
86,16
87,21
88,17
89,23
90,17
91,15
92,12
93,18
94,15
95,17
96,18
97,24
98,13
99,17
100,11
101,16
102,21
103,13
104,15
105,16
106,16
107,12
108,19
109,16
110,16
111,25
112,13
113,22
114,17
115,20
116,19
117,28
118,17
119,15
120,15
121,15
122,13
123,15
124,14
125,18
126,21
127,14
128,16
129,18
130,8
131,28
132,20
133,22
134,26
135,27
136,9
137,17
138,22
139,21
140,19
141,17
142,11
143,19
144,22
145,14
146,15
147,25
148,10
149,20
150,25
151,13
152,16
153,25
154,17
155,24
156,21
157,10
158,13
159,20
160,13
161,18
162,18
163,21
164,19
165,28
166,13
167,15
168,19
169,8
170,14
171,23
172,18
173,12
174,17
175,11
176,19
177,12
178,18
179,15
180,25
181,17
182,12
183,24
184,12
185,17
186,25
187,11
188,16
189,18
190,14
191,17
192,25
193,15
194,17
195,27
196,15
197,16
198,19
199,14
200,10
