,0
1,25
2,43
3,43
4,27
5,27
6,43
7,49
8,21
9,50
10,24
11,33
12,37
13,33
14,40
15,40
16,25
17,42
18,39
19,35
20,35
21,31
22,31
23,32
24,24
25,37
26,34
27,27
28,21
29,26
30,24
31,33
32,33
33,23
34,22
35,24
36,29
37,19
38,26
39,22
40,20
41,33
42,22
43,25
44,14
45,17
46,25
47,29
48,28
49,21
50,38
51,23
52,29
53,26
54,24
55,20
56,27
57,27
58,28
59,27
60,36
61,32
62,27
63,27
64,20
65,18
66,33
67,25
68,30
69,25
70,22
71,30
72,23
73,26
74,38
75,32
76,25
77,31
78,12
79,31
80,20
81,25
82,31
83,23
84,29
85,30
86,23
87,31
88,24
89,36
90,28
91,27
92,23
93,34
94,20
95,32
96,28
97,17
98,28
99,35
100,20
101,22
102,27
103,27
104,20
105,29
106,30
107,35
108,27
109,23
110,30
111,24
112,21
113,21
114,24
115,22
116,25
117,32
118,29
119,36
120,35
121,33
122,41
123,34
124,31
125,23
126,29
127,26
128,32
129,28
130,28
131,28
132,18
133,30
134,35
135,18
136,20
137,30
138,19
139,27
140,22
141,30
142,25
143,17
144,25
145,27
146,26
147,24
148,18
149,27
150,32
151,30
152,20
153,27
154,31
155,27
156,14
157,25
158,24
159,27
160,23
161,32
162,20
163,19
164,26
165,33
166,18
167,32
168,30
169,25
170,22
171,28
172,25
173,28
174,32
175,31
176,24
177,28
178,26
179,22
180,32
181,35
182,29
183,24
184,25
185,25
186,36
187,19
188,32
189,17
190,31
191,23
192,26
193,24
194,28
195,26
196,31
197,25
198,34
199,34
200,27
