,0
1,5
2,10
3,5
4,3
5,13
6,11
7,11
8,9
9,7
10,8
11,4
12,11
13,9
14,16
15,11
16,16
17,14
18,17
19,11
20,15
21,17
22,8
23,24
24,15
25,10
26,17
27,18
28,17
29,14
30,11
31,7
32,8
33,7
34,16
35,12
36,12
37,6
38,10
39,12
40,6
41,7
42,7
43,6
44,13
45,8
46,6
47,10
48,10
49,5
50,5
51,11
52,10
53,6
54,7
55,19
56,13
57,9
58,4
59,6
60,8
61,7
62,8
63,8
64,11
65,13
66,7
67,12
68,8
69,8
70,3
71,16
72,10
73,11
74,7
75,6
76,13
77,10
78,19
79,9
80,9
81,13
82,22
83,9
84,9
85,11
86,8
87,12
88,11
89,8
90,12
91,6
92,9
93,7
94,5
95,11
96,4
97,4
98,4
99,9
100,12
101,9
102,8
103,8
104,5
105,5
106,6
107,8
108,13
109,19
110,9
111,10
112,10
113,4
114,11
115,10
116,12
117,8
118,9
119,11
120,11
121,9
122,6
123,15
124,8
125,20
126,10
127,10
128,9
129,14
130,13
131,7
132,11
133,14
134,13
135,7
136,12
137,14
138,8
139,18
140,13
141,14
142,8
143,7
144,21
145,10
146,6
147,11
148,14
149,15
150,8
151,9
152,8
153,12
154,14
155,11
156,15
157,4
158,9
159,10
160,8
161,5
162,10
163,9
164,7
165,12
166,12
167,11
168,14
169,9
170,21
171,12
172,15
173,8
174,9
175,8
176,11
177,10
178,10
179,8
180,11
181,7
182,14
183,11
184,9
185,13
186,12
187,12
188,15
189,11
190,5
191,3
192,9
193,12
194,15
195,14
196,9
197,5
198,7
199,13
200,12
