,0
1,10
2,8
3,6
4,3
5,4
6,4
7,5
8,4
9,7
10,8
11,1
12,7
13,3
14,8
15,6
16,0
17,2
18,1
19,3
20,6
21,10
22,7
23,8
24,4
25,4
26,6
27,7
28,5
29,3
30,7
31,3
32,6
33,14
34,3
35,5
36,12
37,6
38,3
39,11
40,6
41,3
42,14
43,10
44,4
45,9
46,7
47,5
48,6
49,2
50,9
51,8
52,7
53,8
54,9
55,4
56,9
57,7
58,2
59,4
60,6
61,7
62,8
63,10
64,7
65,3
66,8
67,7
68,4
69,9
70,6
71,6
72,7
73,4
74,11
75,10
76,3
77,9
78,10
79,3
80,8
81,5
82,6
83,10
84,8
85,5
86,4
87,11
88,3
89,11
90,8
91,7
92,14
93,10
94,3
95,3
96,5
97,10
98,6
99,10
100,10
101,6
102,8
103,9
104,8
105,18
106,12
107,7
108,8
109,9
110,8
111,15
112,9
113,3
114,15
115,2
116,6
117,9
118,6
119,9
120,6
121,10
122,6
123,8
124,9
125,2
126,10
127,8
128,14
129,7
130,14
131,7
132,12
133,11
134,7
135,10
136,11
137,8
138,12
139,2
140,12
141,11
142,8
143,7
144,12
145,9
146,6
147,9
148,7
149,11
150,15
151,4
152,7
153,12
154,4
155,11
156,11
157,6
158,11
159,10
160,4
161,11
162,9
163,4
164,8
165,5
166,2
167,8
168,16
169,11
170,5
171,17
172,5
173,10
174,13
175,7
176,7
177,7
178,4
179,10
180,7
181,6
182,11
183,17
184,9
185,10
186,13
187,6
188,7
189,11
190,5
191,13
192,12
193,3
194,3
195,9
196,7
197,6
198,13
199,7
200,8
