,0
-200,25
-199,24
-198,18
-197,19
-196,14
-195,19
-194,18
-193,23
-192,16
-191,23
-190,25
-189,16
-188,29
-187,14
-186,15
-185,19
-184,16
-183,15
-182,25
-181,21
-180,16
-179,28
-178,18
-177,28
-176,24
-175,24
-174,19
-173,33
-172,19
-171,14
-170,24
-169,25
-168,16
-167,14
-166,18
-165,22
-164,22
-163,19
-162,16
-161,27
-160,18
-159,23
-158,13
-157,23
-156,10
-155,32
-154,28
-153,16
-152,11
-151,15
-150,18
-149,18
-148,17
-147,17
-146,20
-145,20
-144,24
-143,26
-142,25
-141,19
-140,16
-139,18
-138,16
-137,23
-136,27
-135,19
-134,22
-133,25
-132,17
-131,23
-130,27
-129,25
-128,18
-127,18
-126,13
-125,23
-124,17
-123,20
-122,22
-121,24
-120,17
-119,25
-118,26
-117,20
-116,19
-115,15
-114,17
-113,12
-112,13
-111,12
-110,15
-109,23
-108,11
-107,18
-106,9
-105,16
-104,23
-103,20
-102,12
-101,19
-100,19
-99,23
-98,19
-97,18
-96,17
-95,13
-94,15
-93,17
-92,21
-91,20
-90,20
-89,21
-88,23
-87,16
-86,14
-85,26
-84,20
-83,15
-82,23
-81,21
-80,20
-79,20
-78,10
-77,17
-76,16
-75,12
-74,18
-73,17
-72,13
-71,32
-70,18
-69,15
-68,17
-67,15
-66,21
-65,20
-64,17
-63,20
-62,26
-61,18
-60,14
-59,13
-58,17
-57,22
-56,15
-55,14
-54,14
-53,23
-52,19
-51,16
-50,19
-49,25
-48,21
-47,15
-46,14
-45,14
-44,16
-43,12
-42,16
-41,20
-40,21
-39,16
-38,16
-37,15
-36,21
-35,19
-34,24
-33,27
-32,22
-31,28
-30,16
-29,16
-28,19
-27,16
-26,17
-25,13
-24,7
-23,21
-22,17
-21,19
-20,11
-19,36
-18,45
-17,60
-16,65
-15,61
-14,49
-13,47
-12,47
-11,36
-10,38
-9,28
-8,46
-7,34
-6,25
-5,10
-4,9
-3,7
-2,0
-1,0
