Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	Position(s) 10	
CDS	Not Complement	0	197	dnaA	Yes	33	62	116								
CDS	Not Complement	1517	1717	dnaN	Yes	1649	1659	1687								
CDS	Not Complement	2718	2918	SPNHU17_RS00015												
CDS	Not Complement	2996	3196	ychF												
CDS	Not Complement	4182	4382	pth												
CDS	Not Complement	4752	4952	mfd												
CDS	Not Complement	8319	8519	SPNHU17_RS00035	Yes	8469										
CDS	Not Complement	8578	8778	SPNHU17_RS00040												
CDS	Not Complement	9066	9266	SPNHU17_RS00045												
CDS	Not Complement	10331	10531	tilS	Yes	10374	10461	10468	10497							
CDS	Not Complement	11612	11812	hpt												
CDS	Not Complement	12170	12370	ftsH												
tRNA	Not Complement	14312	14512	SPNHU17_RS00065												
rRNA	Not Complement	14636	14836	SPNHU17_RS00070												
tRNA	Not Complement	16233	16433	SPNHU17_RS00075	Yes	16382										
rRNA	Not Complement	16430	16630	SPNHU17_RS00080												
rRNA	Not Complement	19408	19608	rrf	Yes	19418	19563									
tRNA	Not Complement	19629	19829	SPNHU17_RS00090												
CDS	Complement	20825	21025	SPNHU17_RS00095	Yes	20964	20981									
CDS	Not Complement	20891	21091	comW												
CDS	Not Complement	21358	21558	SPNHU17_RS00105	Yes	21400	21438	21447								
CDS	Complement	24528	24728	SPNHU17_RS00110	Yes	24596										
CDS	Complement	25640	25840	SPNHU17_RS00115	Yes	25654	25769	25820								
CDS	Complement	26036	26236	SPNHU17_RS00120	Yes	26100	26108	26156								
CDS	Complement	26411	26611	SPNHU17_RS00125	Yes	26428	26578									
CDS	Complement	27010	27210	SPNHU17_RS00130	Yes	27020	27028									
CDS	Not Complement	26929	27129	SPNHU17_RS00135												
CDS	Not Complement	27087	27287	SPNHU17_RS00140												
CDS	Not Complement	27433	27633	SPNHU17_RS00145												
CDS	Not Complement	28162	28362	SPNHU17_RS00150												
CDS	Not Complement	28505	28705	SPNHU17_RS00155	Yes	28522	28551									
CDS	Not Complement	28841	29041	SPNHU17_RS00160												
CDS	Not Complement	29131	29331	SPNHU17_RS00165												
CDS	Not Complement	29907	30107	SPNHU17_RS00170												
CDS	Not Complement	30059	30259	SPNHU17_RS00175												
CDS	Not Complement	30844	31044	SPNHU17_RS00180	Yes	30993										
CDS	Not Complement	31038	31238	SPNHU17_RS00185	Yes	31086	31126	31162								
CDS	Not Complement	31278	31478	SPNHU17_RS00190	Yes	31345	31370	31443								
CDS	Not Complement	31459	31659	SPNHU17_RS00195												
CDS	Not Complement	31769	31969	SPNHU17_RS00200												
CDS	Not Complement	32342	32542	SPNHU17_RS00205												
CDS	Not Complement	33425	33625	SPNHU17_RS00210	Yes	33465										
CDS	Not Complement	33768	33968	SPNHU17_RS00215	Yes	33781	33886									
CDS	Not Complement	34246	34446	SPNHU17_RS00220												
CDS	Not Complement	35967	36167	SPNHU17_RS00225	Yes	36051	36128									
CDS	Not Complement	37156	37356	SPNHU17_RS00230												
CDS	Not Complement	37713	37913	SPNHU17_RS00235												
CDS	Not Complement	38992	39192	SPNHU17_RS00240	Yes	39048										
CDS	Not Complement	39324	39524	SPNHU17_RS00245												
CDS	Not Complement	39629	39829	SPNHU17_RS00250	Yes	39698										
CDS	Not Complement	39963	40163	SPNHU17_RS00255												
CDS	Not Complement	40321	40521	SPNHU17_RS00260	Yes	40469										
CDS	Not Complement	40991	41191	SPNHU17_RS00265	Yes	41050										
CDS	Not Complement	41654	41854	SPNHU17_RS00270												
CDS	Not Complement	44389	44589	SPNHU17_RS00275	Yes	44586										
CDS	Not Complement	45112	45312	SPNHU17_RS00280												
CDS	Not Complement	46972	47172	SPNHU17_RS00285												
CDS	Not Complement	47896	48096	SPNHU17_RS00290												
CDS	Not Complement	49053	49253	SPNHU17_RS00295												
CDS	Not Complement	52144	52344	SPNHU17_RS00300												
CDS	Not Complement	52350	52550	SPNHU17_RS00305												
CDS	Not Complement	52710	52910	SPNHU17_RS00310												
CDS	Not Complement	53130	53330	SPNHU17_RS00315	Yes	53210	53261	53282								
CDS	Not Complement	53466	53666	SPNHU17_RS00320												
CDS	Complement	54951	55151	SPNHU17_RS00325	Yes	55035	55042	55074	55103	55117						
CDS	Complement	55242	55442	SPNHU17_RS00330	Yes	55259	55332									
CDS	Not Complement	55640	55840	tadA	Yes	55740										
ncRNA	Not Complement	56140	56340	SRP_RNA												
CDS	Not Complement	56293	56493	SPNHU17_RS00345	Yes	56428	56438									
CDS	Not Complement	56738	56938	SPNHU17_RS00350	Yes	56870										
CDS	Not Complement	57267	57467	radA	Yes	57322										
CDS	Not Complement	58701	58901	SPNHU17_RS00360	Yes	58888										
CDS	Not Complement	59219	59419	SPNHU17_RS00365	Yes	59257										
CDS	Not Complement	60179	60379	SPNHU17_RS00370	Yes	60244										
CDS	Complement	62816	63016	SPNHU17_RS10810	Yes	62826										
CDS	Not Complement	62872	63072	polA	Yes	63056										
CDS	Not Complement	65590	65790	SPNHU17_RS00395	Yes	65754	65788									
CDS	Complement	67950	68150	SPNHU17_RS00400	Yes	68148										
CDS	Not Complement	67899	68099	SPNHU17_RS00405												
CDS	Not Complement	69065	69265	recO	Yes	69113										
CDS	Not Complement	69832	70032	plsX	Yes	69859	69893									
CDS	Not Complement	70830	71030	SPNHU17_RS00420	Yes	71014										
CDS	Not Complement	71748	71948	blpU	Yes	71841										
CDS	Not Complement	72514	72714	SPNHU17_RS10815	Yes	72536	72571	72576	72672							
CDS	Not Complement	72729	72929	SPNHU17_RS00430	Yes	72753	72773	72804	72850							
CDS	Not Complement	74165	74365	SPNHU17_RS00435												
CDS	Not Complement	74468	74668	SPNHU17_RS00440	Yes	74489	74555									
CDS	Not Complement	75601	75801	SPNHU17_RS00445	Yes	75748	75766									
CDS	Not Complement	76080	76280	SPNHU17_RS00450	Yes	76234										
CDS	Not Complement	76657	76857	SPNHU17_RS00455	Yes	76755										
CDS	Not Complement	77528	77728	comA	Yes	77678	77699									
CDS	Not Complement	79694	79894	comB	Yes	79746										
CDS	Not Complement	81213	81413	SPNHU17_RS00470	Yes	81307										
CDS	Not Complement	82122	82322	SPNHU17_RS00475	Yes	82192										
CDS	Not Complement	85564	85764	SPNHU17_RS00480												
CDS	Not Complement	86061	86261	purF	Yes	86099	86156	86183								
CDS	Not Complement	87540	87740	purM	Yes	87546										
CDS	Not Complement	88559	88759	purN	Yes	88576										
CDS	Not Complement	89188	89388	SPNHU17_RS00500												
CDS	Not Complement	89722	89922	purH												
CDS	Not Complement	91391	91591	purD	Yes	91496	91500									
CDS	Not Complement	92910	93110	SPNHU17_RS10820												
CDS	Not Complement	93056	93256	purE	Yes	93169										
CDS	Not Complement	93531	93731	purK												
CDS	Not Complement	94632	94832	SPNHU17_RS00525												
CDS	Not Complement	94922	95122	purB												
CDS	Complement	100413	100613	strH	Yes	100481	100561									
CDS	Complement	101444	101644	SPNHU17_RS00540	Yes	101462										
CDS	Not Complement	101592	101792	SPNHU17_RS00545	Yes	101709	101772									
CDS	Not Complement	103376	103576	SPNHU17_RS00550												
CDS	Not Complement	103880	104080	SPNHU17_RS00555	Yes	104027										
CDS	Not Complement	104772	104972	SPNHU17_RS00560	Yes	104835	104873	104889								
CDS	Not Complement	105594	105794	SPNHU17_RS00565	Yes	105619	105756									
CDS	Not Complement	106251	106451	SPNHU17_RS00570	Yes	106320										
CDS	Not Complement	107533	107733	SPNHU17_RS00575	Yes	107690										
CDS	Not Complement	108777	108977	SPNHU17_RS00580	Yes	108915										
CDS	Not Complement	109781	109981	SPNHU17_RS00585	Yes	109844										
CDS	Complement	110642	110842	SPNHU17_RS10825												
CDS	Complement	110929	111129	SPNHU17_RS00595	Yes	110944	110958	110989								
CDS	Complement	111164	111364	SPNHU17_RS00600												
CDS	Not Complement	111013	111213	SPNHU17_RS00605												
CDS	Not Complement	112342	112542	SPNHU17_RS00610	Yes	112351	112516									
CDS	Not Complement	113735	113935	SPNHU17_RS00615												
CDS	Not Complement	114710	114910	SPNHU17_RS00620	Yes	114868										
CDS	Not Complement	115316	115516	SPNHU17_RS00625	Yes	115377										
CDS	Not Complement	115842	116042	pavB	Yes	115972	115990									
CDS	Not Complement	117329	117529	SPNHU17_RS00635												
CDS	Not Complement	117900	118100	SPNHU17_RS00640												
