,0
1,13
2,14
3,3
4,3
5,10
6,11
7,7
8,8
9,11
10,8
11,10
12,10
13,7
14,12
15,9
16,6
17,8
18,10
19,7
20,12
21,6
22,9
23,5
24,11
25,6
26,10
27,8
28,9
29,11
30,12
31,10
32,14
33,15
34,8
35,14
36,7
37,7
38,9
39,8
40,6
41,11
42,12
43,9
44,4
45,12
46,10
47,6
48,9
49,8
50,10
51,15
52,9
53,13
54,7
55,12
56,10
57,14
58,4
59,12
60,13
61,7
62,12
63,8
64,11
65,5
66,7
67,11
68,13
69,14
70,11
71,10
72,9
73,7
74,6
75,11
76,12
77,4
78,16
79,9
80,14
81,15
82,7
83,9
84,17
85,8
86,5
87,9
88,13
89,12
90,8
91,7
92,11
93,10
94,12
95,11
96,6
97,12
98,17
99,13
100,7
101,14
102,16
103,12
104,6
105,11
106,5
107,12
108,13
109,9
110,13
111,9
112,15
113,10
114,10
115,10
116,11
117,9
118,10
119,8
120,11
121,9
122,11
123,9
124,9
125,10
126,14
127,12
128,10
129,13
130,5
131,12
132,12
133,7
134,21
135,10
136,8
137,11
138,8
139,7
140,14
141,13
142,9
143,9
144,9
145,14
146,8
147,10
148,8
149,13
150,13
151,10
152,8
153,8
154,8
155,10
156,10
157,14
158,13
159,8
160,5
161,8
162,14
163,11
164,10
165,12
166,6
167,9
168,12
169,9
170,8
171,18
172,11
173,12
174,6
175,11
176,14
177,14
178,15
179,19
180,16
181,10
182,13
183,13
184,12
185,9
186,8
187,16
188,8
189,6
190,14
191,10
192,11
193,8
194,16
195,7
196,11
197,8
198,16
199,5
200,14
