,0
-200,33
-199,37
-198,39
-197,32
-196,20
-195,37
-194,28
-193,34
-192,39
-191,33
-190,30
-189,30
-188,35
-187,28
-186,27
-185,36
-184,30
-183,24
-182,37
-181,22
-180,12
-179,36
-178,33
-177,37
-176,43
-175,25
-174,34
-173,27
-172,23
-171,33
-170,35
-169,28
-168,21
-167,32
-166,34
-165,28
-164,34
-163,23
-162,38
-161,32
-160,27
-159,27
-158,29
-157,30
-156,37
-155,40
-154,35
-153,31
-152,33
-151,30
-150,30
-149,26
-148,38
-147,22
-146,30
-145,29
-144,28
-143,37
-142,26
-141,28
-140,29
-139,39
-138,25
-137,35
-136,25
-135,27
-134,32
-133,24
-132,23
-131,39
-130,40
-129,25
-128,23
-127,33
-126,32
-125,23
-124,24
-123,26
-122,34
-121,23
-120,19
-119,29
-118,23
-117,18
-116,25
-115,40
-114,23
-113,38
-112,26
-111,21
-110,38
-109,16
-108,27
-107,26
-106,32
-105,23
-104,25
-103,21
-102,30
-101,32
-100,35
-99,26
-98,31
-97,28
-96,23
-95,25
-94,26
-93,26
-92,24
-91,26
-90,26
-89,36
-88,38
-87,18
-86,38
-85,31
-84,24
-83,31
-82,17
-81,20
-80,42
-79,26
-78,29
-77,28
-76,25
-75,28
-74,22
-73,32
-72,26
-71,26
-70,26
-69,24
-68,29
-67,25
-66,18
-65,30
-64,34
-63,21
-62,28
-61,17
-60,21
-59,26
-58,34
-57,24
-56,25
-55,22
-54,18
-53,24
-52,34
-51,26
-50,28
-49,20
-48,25
-47,30
-46,28
-45,23
-44,18
-43,25
-42,22
-41,32
-40,31
-39,28
-38,24
-37,23
-36,30
-35,22
-34,32
-33,32
-32,27
-31,22
-30,29
-29,37
-28,27
-27,26
-26,27
-25,19
-24,19
-23,15
-22,27
-21,25
-20,46
-19,40
-18,54
-17,70
-16,78
-15,81
-14,85
-13,53
-12,48
-11,38
-10,56
-9,48
-8,58
-7,55
-6,34
-5,18
-4,29
-3,15
-2,0
-1,0
