,0
1,40
2,43
3,47
4,54
5,55
6,50
7,34
8,29
9,45
10,34
11,33
12,41
13,38
14,29
15,24
16,49
17,30
18,38
19,26
20,30
21,22
22,30
23,37
24,37
25,29
26,32
27,31
28,26
29,31
30,27
31,21
32,27
33,33
34,18
35,28
36,28
37,23
38,18
39,21
40,22
41,31
42,32
43,20
44,23
45,26
46,28
47,22
48,22
49,23
50,29
51,27
52,35
53,28
54,37
55,22
56,29
57,28
58,32
59,29
60,20
61,37
62,27
63,33
64,31
65,31
66,32
67,33
68,31
69,25
70,36
71,27
72,33
73,27
74,32
75,32
76,21
77,31
78,37
79,44
80,35
81,30
82,35
83,24
84,32
85,25
86,27
87,33
88,30
89,36
90,32
91,29
92,40
93,40
94,30
95,34
96,33
97,33
98,32
99,41
100,34
101,23
102,37
103,30
104,28
105,37
106,30
107,40
108,44
109,35
110,35
111,36
112,30
113,35
114,35
115,24
116,29
117,40
118,27
119,34
120,30
121,39
122,35
123,48
124,31
125,35
126,34
127,28
128,30
129,40
130,30
131,40
132,44
133,35
134,34
135,34
136,36
137,33
138,37
139,33
140,40
141,33
142,32
143,40
144,37
145,32
146,33
147,47
148,28
149,35
150,32
151,32
152,34
153,37
154,21
155,27
156,42
157,28
158,28
159,39
160,38
161,24
162,38
163,34
164,36
165,32
166,33
167,34
168,46
169,48
170,26
171,46
172,37
173,32
174,34
175,31
176,38
177,42
178,37
179,30
180,39
181,35
182,40
183,33
184,33
185,31
186,34
187,26
188,35
189,42
190,42
191,24
192,36
193,45
194,42
195,39
196,41
197,36
198,37
199,28
200,43
