,0
-200,22
-199,41
-198,23
-197,42
-196,33
-195,31
-194,31
-193,23
-192,34
-191,41
-190,34
-189,29
-188,32
-187,35
-186,34
-185,34
-184,26
-183,21
-182,23
-181,27
-180,40
-179,27
-178,27
-177,31
-176,29
-175,25
-174,34
-173,36
-172,36
-171,29
-170,32
-169,31
-168,33
-167,38
-166,30
-165,24
-164,29
-163,37
-162,49
-161,32
-160,24
-159,29
-158,35
-157,31
-156,25
-155,33
-154,26
-153,37
-152,32
-151,43
-150,33
-149,28
-148,27
-147,35
-146,30
-145,28
-144,38
-143,31
-142,33
-141,34
-140,32
-139,35
-138,34
-137,28
-136,34
-135,32
-134,30
-133,29
-132,29
-131,35
-130,34
-129,20
-128,34
-127,23
-126,29
-125,36
-124,32
-123,39
-122,30
-121,24
-120,33
-119,25
-118,26
-117,26
-116,32
-115,24
-114,25
-113,29
-112,30
-111,40
-110,34
-109,25
-108,27
-107,28
-106,32
-105,38
-104,31
-103,38
-102,47
-101,29
-100,34
-99,44
-98,35
-97,22
-96,26
-95,31
-94,37
-93,28
-92,30
-91,44
-90,21
-89,25
-88,31
-87,29
-86,34
-85,38
-84,36
-83,23
-82,26
-81,36
-80,51
-79,34
-78,45
-77,26
-76,33
-75,32
-74,28
-73,26
-72,28
-71,33
-70,24
-69,36
-68,24
-67,32
-66,34
-65,25
-64,31
-63,27
-62,22
-61,32
-60,35
-59,36
-58,29
-57,31
-56,35
-55,20
-54,30
-53,32
-52,26
-51,30
-50,28
-49,35
-48,32
-47,29
-46,30
-45,29
-44,34
-43,36
-42,33
-41,30
-40,21
-39,24
-38,19
-37,17
-36,33
-35,26
-34,23
-33,25
-32,31
-31,24
-30,23
-29,33
-28,24
-27,39
-26,37
-25,45
-24,30
-23,20
-22,29
-21,48
-20,34
-19,25
-18,39
-17,27
-16,33
-15,50
-14,45
-13,35
-12,28
-11,38
-10,64
-9,110
-8,112
-7,65
-6,73
-5,38
-4,33
-3,64
-2,0
-1,0
