,0
-200,36
-199,34
-198,35
-197,35
-196,26
-195,28
-194,32
-193,33
-192,33
-191,27
-190,28
-189,26
-188,41
-187,25
-186,20
-185,36
-184,31
-183,30
-182,32
-181,35
-180,23
-179,33
-178,33
-177,30
-176,36
-175,21
-174,21
-173,38
-172,22
-171,31
-170,32
-169,33
-168,32
-167,33
-166,29
-165,26
-164,36
-163,32
-162,29
-161,29
-160,22
-159,27
-158,31
-157,22
-156,24
-155,35
-154,26
-153,35
-152,30
-151,18
-150,34
-149,35
-148,34
-147,28
-146,40
-145,17
-144,34
-143,30
-142,28
-141,31
-140,27
-139,30
-138,31
-137,31
-136,33
-135,30
-134,33
-133,23
-132,35
-131,27
-130,28
-129,34
-128,39
-127,20
-126,25
-125,26
-124,27
-123,28
-122,30
-121,23
-120,31
-119,37
-118,26
-117,30
-116,35
-115,33
-114,28
-113,33
-112,29
-111,26
-110,27
-109,31
-108,34
-107,28
-106,25
-105,28
-104,26
-103,30
-102,32
-101,39
-100,19
-99,15
-98,32
-97,25
-96,31
-95,31
-94,22
-93,21
-92,21
-91,24
-90,24
-89,32
-88,26
-87,30
-86,36
-85,26
-84,22
-83,27
-82,29
-81,33
-80,20
-79,39
-78,28
-77,25
-76,31
-75,27
-74,32
-73,21
-72,28
-71,35
-70,20
-69,21
-68,38
-67,21
-66,21
-65,17
-64,22
-63,21
-62,34
-61,26
-60,14
-59,32
-58,27
-57,21
-56,35
-55,25
-54,37
-53,34
-52,17
-51,25
-50,42
-49,35
-48,27
-47,26
-46,22
-45,23
-44,26
-43,18
-42,24
-41,32
-40,23
-39,21
-38,28
-37,23
-36,20
-35,21
-34,15
-33,15
-32,19
-31,20
-30,28
-29,25
-28,13
-27,26
-26,25
-25,17
-24,18
-23,30
-22,24
-21,22
-20,19
-19,24
-18,25
-17,37
-16,43
-15,61
-14,84
-13,72
-12,62
-11,66
-10,54
-9,64
-8,43
-7,28
-6,33
-5,21
-4,20
-3,4
-2,1
-1,1
