,0
-200,27
-199,43
-198,33
-197,37
-196,37
-195,34
-194,32
-193,37
-192,36
-191,38
-190,30
-189,32
-188,38
-187,38
-186,29
-185,36
-184,39
-183,42
-182,38
-181,25
-180,35
-179,46
-178,46
-177,28
-176,39
-175,46
-174,29
-173,46
-172,32
-171,30
-170,39
-169,46
-168,39
-167,38
-166,39
-165,28
-164,32
-163,39
-162,29
-161,28
-160,30
-159,45
-158,38
-157,36
-156,33
-155,35
-154,35
-153,32
-152,39
-151,37
-150,33
-149,33
-148,38
-147,32
-146,41
-145,34
-144,37
-143,35
-142,35
-141,36
-140,40
-139,37
-138,34
-137,36
-136,46
-135,45
-134,33
-133,41
-132,34
-131,35
-130,46
-129,36
-128,40
-127,43
-126,34
-125,36
-124,46
-123,38
-122,33
-121,32
-120,24
-119,39
-118,39
-117,34
-116,33
-115,30
-114,42
-113,49
-112,33
-111,35
-110,39
-109,46
-108,40
-107,36
-106,39
-105,37
-104,38
-103,41
-102,34
-101,34
-100,36
-99,37
-98,38
-97,40
-96,45
-95,27
-94,45
-93,45
-92,55
-91,40
-90,39
-89,37
-88,42
-87,41
-86,46
-85,38
-84,32
-83,30
-82,42
-81,36
-80,49
-79,21
-78,35
-77,51
-76,37
-75,36
-74,30
-73,41
-72,31
-71,35
-70,34
-69,38
-68,44
-67,37
-66,42
-65,30
-64,40
-63,40
-62,42
-61,28
-60,36
-59,42
-58,40
-57,32
-56,46
-55,38
-54,24
-53,35
-52,42
-51,30
-50,30
-49,42
-48,37
-47,37
-46,44
-45,34
-44,43
-43,38
-42,30
-41,43
-40,26
-39,31
-38,40
-37,41
-36,38
-35,36
-34,42
-33,36
-32,45
-31,41
-30,40
-29,43
-28,37
-27,34
-26,55
-25,43
-24,47
-23,42
-22,62
-21,48
-20,51
-19,69
-18,80
-17,73
-16,90
-15,112
-14,96
-13,113
-12,65
-11,53
-10,56
-9,94
-8,133
-7,112
-6,97
-5,58
-4,50
-3,0
-2,0
-1,0
