,0
1,50
2,51
3,52
4,50
5,60
6,38
7,47
8,44
9,58
10,39
11,60
12,54
13,47
14,38
15,53
16,67
17,52
18,41
19,49
20,36
21,43
22,44
23,47
24,32
25,42
26,46
27,28
28,35
29,34
30,39
31,45
32,38
33,37
34,41
35,39
36,57
37,36
38,40
39,34
40,32
41,36
42,27
43,35
44,34
45,30
46,29
47,32
48,25
49,32
50,36
51,33
52,30
53,35
54,29
55,33
56,26
57,40
58,25
59,36
60,43
61,37
62,32
63,35
64,31
65,35
66,33
67,40
68,43
69,33
70,37
71,28
72,39
73,43
74,26
75,47
76,28
77,29
78,36
79,38
80,35
81,24
82,32
83,38
84,37
85,26
86,36
87,40
88,25
89,37
90,30
91,37
92,22
93,28
94,37
95,33
96,27
97,23
98,42
99,19
100,29
101,40
102,19
103,32
104,24
105,33
106,31
107,26
108,34
109,39
110,40
111,26
112,35
113,35
114,30
115,34
116,35
117,42
118,25
119,28
120,23
121,28
122,33
123,34
124,30
125,26
126,31
127,35
128,32
129,26
130,36
131,29
132,41
133,38
134,32
135,40
136,28
137,35
138,39
139,36
140,43
141,38
142,28
143,42
144,42
145,26
146,25
147,30
148,26
149,38
150,29
151,41
152,32
153,40
154,42
155,33
156,29
157,28
158,32
159,32
160,31
161,41
162,39
163,29
164,20
165,33
166,35
167,26
168,26
169,31
170,29
171,33
172,35
173,22
174,24
175,30
176,36
177,33
178,38
179,26
180,39
181,34
182,30
183,34
184,36
185,37
186,34
187,34
188,40
189,31
190,35
191,27
192,24
193,20
194,30
195,40
196,30
197,39
198,26
199,31
200,29
