,0
-200,18
-199,20
-198,16
-197,19
-196,16
-195,12
-194,15
-193,19
-192,19
-191,15
-190,16
-189,11
-188,12
-187,22
-186,18
-185,20
-184,18
-183,13
-182,20
-181,23
-180,14
-179,16
-178,15
-177,15
-176,20
-175,23
-174,12
-173,24
-172,16
-171,19
-170,12
-169,19
-168,20
-167,15
-166,17
-165,18
-164,18
-163,23
-162,25
-161,14
-160,19
-159,23
-158,9
-157,16
-156,11
-155,13
-154,21
-153,18
-152,18
-151,13
-150,22
-149,22
-148,24
-147,13
-146,15
-145,15
-144,12
-143,16
-142,15
-141,21
-140,14
-139,13
-138,9
-137,18
-136,10
-135,20
-134,18
-133,18
-132,16
-131,12
-130,16
-129,18
-128,9
-127,16
-126,14
-125,15
-124,15
-123,15
-122,9
-121,19
-120,14
-119,14
-118,12
-117,13
-116,15
-115,7
-114,14
-113,17
-112,12
-111,10
-110,18
-109,12
-108,17
-107,11
-106,24
-105,13
-104,8
-103,16
-102,15
-101,9
-100,13
-99,13
-98,16
-97,15
-96,18
-95,19
-94,20
-93,15
-92,14
-91,15
-90,10
-89,16
-88,16
-87,10
-86,10
-85,19
-84,8
-83,17
-82,18
-81,23
-80,16
-79,10
-78,13
-77,14
-76,15
-75,12
-74,11
-73,13
-72,16
-71,11
-70,10
-69,17
-68,8
-67,14
-66,7
-65,15
-64,11
-63,13
-62,10
-61,9
-60,32
-59,22
-58,15
-57,5
-56,12
-55,16
-54,13
-53,10
-52,15
-51,13
-50,11
-49,14
-48,11
-47,13
-46,17
-45,16
-44,19
-43,10
-42,12
-41,16
-40,13
-39,10
-38,13
-37,15
-36,12
-35,15
-34,16
-33,5
-32,10
-31,4
-30,2
-29,10
-28,5
-27,11
-26,13
-25,12
-24,11
-23,10
-22,12
-21,13
-20,15
-19,16
-18,18
-17,36
-16,30
-15,39
-14,24
-13,30
-12,32
-11,29
-10,14
-9,19
-8,36
-7,32
-6,25
-5,17
-4,9
-3,3
-2,0
-1,0
