,0
1,17
2,21
3,23
4,29
5,21
6,25
7,17
8,20
9,31
10,23
11,44
12,47
13,55
14,54
15,47
16,46
17,43
18,41
19,35
20,30
21,36
22,28
23,28
24,27
25,18
26,20
27,22
28,18
29,26
30,16
31,20
32,22
33,20
34,16
35,16
36,18
37,22
38,23
39,17
40,29
41,21
42,22
43,20
44,14
45,21
46,19
47,35
48,31
49,15
50,21
51,13
52,18
53,29
54,21
55,21
56,21
57,17
58,20
59,22
60,22
61,15
62,22
63,23
64,15
65,13
66,23
67,17
68,17
69,19
70,21
71,31
72,20
73,13
74,20
75,15
76,21
77,17
78,11
79,20
80,21
81,14
82,20
83,20
84,21
85,16
86,26
87,29
88,12
89,25
90,20
91,19
92,20
93,18
94,17
95,14
96,16
97,27
98,11
99,17
100,9
101,17
102,17
103,20
104,13
105,20
106,10
107,18
108,25
109,23
110,14
111,19
112,21
113,15
114,23
115,14
116,20
117,16
118,20
119,20
120,14
121,19
122,14
123,27
124,13
125,17
126,18
127,12
128,24
129,16
130,25
131,25
132,19
133,12
134,22
135,15
136,19
137,11
138,15
139,14
140,11
141,13
142,8
143,13
144,8
145,24
146,13
147,21
148,15
149,19
150,16
151,10
152,19
153,13
154,16
155,21
156,15
157,17
158,14
159,16
160,13
161,13
162,12
163,13
164,15
165,18
166,10
167,21
168,18
169,20
170,21
171,17
172,17
173,21
174,15
175,19
176,19
177,19
178,10
179,14
180,20
181,12
182,12
183,17
184,16
185,20
186,11
187,11
188,17
189,18
190,7
191,10
192,14
193,14
194,15
195,16
196,14
197,17
198,20
199,21
200,12
