,0
1,17
2,21
3,26
4,31
5,28
6,22
7,12
8,20
9,14
10,17
11,16
12,22
13,17
14,15
15,18
16,18
17,12
18,19
19,19
20,11
21,15
22,17
23,22
24,18
25,21
26,12
27,18
28,17
29,20
30,8
31,21
32,14
33,12
34,20
35,15
36,12
37,14
38,26
39,16
40,12
41,18
42,18
43,13
44,19
45,21
46,16
47,16
48,12
49,17
50,15
51,10
52,17
53,11
54,15
55,12
56,18
57,16
58,21
59,20
60,26
61,17
62,10
63,22
64,10
65,18
66,14
67,14
68,22
69,15
70,19
71,15
72,18
73,19
74,14
75,20
76,17
77,18
78,12
79,22
80,15
81,24
82,14
83,18
84,21
85,9
86,13
87,23
88,14
89,16
90,11
91,18
92,24
93,20
94,17
95,20
96,9
97,23
98,20
99,19
100,20
101,15
102,21
103,17
104,28
105,8
106,15
107,21
108,16
109,19
110,20
111,12
112,22
113,17
114,16
115,18
116,20
117,16
118,14
119,24
120,14
121,12
122,22
123,13
124,19
125,11
126,16
127,19
128,17
129,21
130,16
131,17
132,18
133,13
134,19
135,19
136,19
137,23
138,19
139,15
140,12
141,25
142,14
143,21
144,23
145,13
146,27
147,15
148,12
149,18
150,17
151,17
152,18
153,19
154,22
155,23
156,16
157,16
158,19
159,22
160,16
161,19
162,25
163,18
164,12
165,14
166,14
167,19
168,25
169,27
170,20
171,13
172,19
173,19
174,16
175,10
176,24
177,16
178,14
179,19
180,16
181,16
182,11
183,26
184,15
185,17
186,24
187,16
188,19
189,19
190,14
191,17
192,17
193,24
194,15
195,17
196,12
197,19
198,16
199,21
200,18
