,0
1,61
2,45
3,47
4,59
5,52
6,50
7,46
8,41
9,65
10,25
11,30
12,34
13,40
14,50
15,38
16,34
17,30
18,33
19,35
20,30
21,23
22,29
23,28
24,30
25,38
26,29
27,33
28,29
29,32
30,34
31,28
32,27
33,19
34,25
35,15
36,24
37,21
38,26
39,25
40,22
41,22
42,30
43,26
44,30
45,27
46,29
47,35
48,18
49,23
50,31
51,28
52,19
53,30
54,28
55,20
56,22
57,25
58,23
59,27
60,27
61,23
62,26
63,23
64,29
65,22
66,30
67,34
68,19
69,24
70,32
71,27
72,25
73,29
74,26
75,16
76,22
77,23
78,28
79,20
80,25
81,28
82,26
83,25
84,27
85,26
86,29
87,17
88,20
89,19
90,21
91,33
92,28
93,20
94,27
95,25
96,31
97,32
98,17
99,25
100,19
101,26
102,23
103,28
104,32
105,22
106,26
107,21
108,29
109,18
110,28
111,22
112,36
113,21
114,30
115,13
116,32
117,24
118,18
119,13
120,17
121,29
122,19
123,16
124,21
125,15
126,25
127,19
128,18
129,21
130,22
131,19
132,17
133,34
134,20
135,24
136,22
137,26
138,16
139,32
140,30
141,17
142,27
143,23
144,30
145,21
146,20
147,21
148,23
149,25
150,27
151,27
152,24
153,27
154,24
155,27
156,26
157,30
158,25
159,32
160,13
161,18
162,21
163,27
164,30
165,19
166,30
167,24
168,19
169,20
170,22
171,15
172,21
173,23
174,18
175,24
176,18
177,18
178,25
179,21
180,24
181,25
182,10
183,21
184,23
185,33
186,14
187,24
188,14
189,16
190,24
191,21
192,23
193,17
194,21
195,23
196,11
197,18
198,23
199,21
200,14
