,0
-200,15
-199,26
-198,17
-197,22
-196,28
-195,24
-194,23
-193,19
-192,24
-191,27
-190,20
-189,28
-188,22
-187,25
-186,19
-185,18
-184,23
-183,27
-182,19
-181,17
-180,23
-179,28
-178,26
-177,20
-176,24
-175,28
-174,18
-173,31
-172,21
-171,25
-170,28
-169,26
-168,24
-167,30
-166,25
-165,19
-164,16
-163,26
-162,17
-161,16
-160,19
-159,24
-158,24
-157,24
-156,28
-155,26
-154,21
-153,20
-152,25
-151,23
-150,19
-149,25
-148,23
-147,20
-146,30
-145,25
-144,23
-143,19
-142,21
-141,26
-140,23
-139,24
-138,30
-137,25
-136,31
-135,29
-134,23
-133,22
-132,23
-131,22
-130,33
-129,21
-128,27
-127,28
-126,22
-125,23
-124,22
-123,29
-122,21
-121,17
-120,22
-119,29
-118,31
-117,21
-116,18
-115,19
-114,33
-113,31
-112,18
-111,26
-110,26
-109,27
-108,34
-107,29
-106,24
-105,30
-104,21
-103,27
-102,23
-101,19
-100,25
-99,26
-98,25
-97,28
-96,30
-95,16
-94,29
-93,31
-92,35
-91,27
-90,32
-89,25
-88,24
-87,25
-86,33
-85,29
-84,19
-83,21
-82,27
-81,28
-80,35
-79,14
-78,18
-77,36
-76,23
-75,26
-74,21
-73,28
-72,21
-71,19
-70,27
-69,23
-68,26
-67,21
-66,35
-65,19
-64,24
-63,28
-62,29
-61,19
-60,30
-59,36
-58,33
-57,25
-56,33
-55,20
-54,14
-53,25
-52,28
-51,17
-50,23
-49,27
-48,27
-47,27
-46,26
-45,21
-44,32
-43,29
-42,21
-41,27
-40,14
-39,22
-38,26
-37,27
-36,31
-35,24
-34,28
-33,27
-32,37
-31,32
-30,30
-29,29
-28,32
-27,24
-26,39
-25,32
-24,33
-23,33
-22,50
-21,37
-20,39
-19,55
-18,74
-17,56
-16,77
-15,90
-14,76
-13,73
-12,41
-11,31
-10,39
-9,73
-8,101
-7,78
-6,85
-5,41
-4,35
-3,61
-2,1
-1,1
