,0
-200,60
-199,54
-198,47
-197,55
-196,57
-195,55
-194,51
-193,61
-192,58
-191,61
-190,50
-189,51
-188,51
-187,63
-186,48
-185,51
-184,66
-183,39
-182,56
-181,37
-180,61
-179,57
-178,62
-177,61
-176,47
-175,62
-174,55
-173,55
-172,66
-171,53
-170,53
-169,54
-168,57
-167,51
-166,51
-165,47
-164,60
-163,51
-162,64
-161,47
-160,56
-159,51
-158,49
-157,50
-156,50
-155,64
-154,52
-153,53
-152,44
-151,59
-150,51
-149,41
-148,53
-147,60
-146,56
-145,50
-144,53
-143,51
-142,50
-141,63
-140,54
-139,65
-138,42
-137,77
-136,55
-135,37
-134,46
-133,66
-132,58
-131,54
-130,72
-129,70
-128,65
-127,68
-126,51
-125,56
-124,56
-123,61
-122,56
-121,53
-120,45
-119,53
-118,52
-117,53
-116,55
-115,58
-114,51
-113,59
-112,72
-111,56
-110,45
-109,63
-108,50
-107,54
-106,55
-105,60
-104,66
-103,66
-102,54
-101,49
-100,68
-99,57
-98,54
-97,62
-96,52
-95,58
-94,56
-93,62
-92,68
-91,65
-90,40
-89,49
-88,72
-87,62
-86,52
-85,59
-84,57
-83,60
-82,58
-81,82
-80,61
-79,62
-78,63
-77,58
-76,65
-75,68
-74,47
-73,75
-72,73
-71,55
-70,64
-69,64
-68,55
-67,83
-66,62
-65,60
-64,71
-63,59
-62,67
-61,67
-60,43
-59,49
-58,74
-57,80
-56,54
-55,65
-54,55
-53,59
-52,73
-51,56
-50,50
-49,63
-48,57
-47,70
-46,56
-45,54
-44,54
-43,68
-42,56
-41,45
-40,59
-39,47
-38,56
-37,46
-36,48
-35,60
-34,65
-33,43
-32,53
-31,55
-30,60
-29,49
-28,55
-27,52
-26,48
-25,49
-24,59
-23,41
-22,64
-21,53
-20,59
-19,71
-18,48
-17,30
-16,29
-15,18
-14,17
-13,15
-12,10
-11,19
-10,22
-9,30
-8,43
-7,30
-6,38
-5,78
-4,51
-3,53
-2,50
-1,2
