,0
1,9
2,20
3,13
4,16
5,15
6,17
7,12
8,20
9,23
10,17
11,15
12,17
13,18
14,21
15,17
16,16
17,17
18,19
19,14
20,10
21,14
22,10
23,14
24,21
25,11
26,11
27,25
28,14
29,16
30,12
31,20
32,23
33,21
34,15
35,16
36,16
37,10
38,12
39,10
40,14
41,10
42,18
43,11
44,11
45,15
46,13
47,17
48,12
49,5
50,23
51,14
52,16
53,15
54,13
55,15
56,12
57,22
58,11
59,19
60,16
61,15
62,14
63,20
64,18
65,16
66,16
67,6
68,18
69,16
70,18
71,18
72,19
73,16
74,11
75,17
76,21
77,17
78,15
79,12
80,12
81,26
82,13
83,21
84,18
85,17
86,14
87,18
88,12
89,25
90,20
91,26
92,14
93,27
94,21
95,10
96,19
97,17
98,20
99,16
100,16
101,16
102,16
103,15
104,18
105,19
106,6
107,23
108,19
109,17
110,26
111,20
112,13
113,17
114,32
115,19
116,20
117,27
118,20
119,27
120,22
121,20
122,23
123,24
124,23
125,21
126,16
127,13
128,16
129,27
130,19
131,26
132,21
133,16
134,23
135,26
136,15
137,24
138,21
139,15
140,19
141,31
142,14
143,30
144,21
145,22
146,15
147,17
148,16
149,12
150,26
151,20
152,16
153,32
154,13
155,16
156,19
157,23
158,13
159,17
160,15
161,12
162,20
163,12
164,19
165,13
166,16
167,9
168,18
169,16
170,11
171,29
172,19
173,24
174,17
175,16
176,22
177,26
178,11
179,8
180,17
181,12
182,21
183,25
184,20
185,20
186,32
187,16
188,13
189,24
190,17
191,15
192,30
193,15
194,24
195,25
196,21
197,20
198,33
199,14
200,17
