,0
1,16
2,40
3,20
4,34
5,33
6,31
7,22
8,36
9,32
10,18
11,25
12,25
13,27
14,22
15,19
16,24
17,23
18,36
19,20
20,28
21,27
22,21
23,29
24,21
25,33
26,38
27,23
28,35
29,20
30,24
31,20
32,17
33,21
34,28
35,30
36,20
37,17
38,23
39,21
40,20
41,18
42,33
43,14
44,19
45,24
46,23
47,18
48,21
49,18
50,25
51,23
52,16
53,28
54,20
55,31
56,26
57,21
58,18
59,27
60,17
61,17
62,23
63,23
64,11
65,27
66,29
67,22
68,19
69,26
70,22
71,36
72,24
73,27
74,28
75,25
76,28
77,37
78,11
79,25
80,17
81,20
82,27
83,23
84,29
85,26
86,25
87,26
88,23
89,26
90,21
91,25
92,35
93,22
94,32
95,17
96,34
97,23
98,24
99,28
100,21
101,34
102,24
103,21
104,26
105,24
106,32
107,19
108,21
109,35
110,21
111,28
112,28
113,19
114,26
115,17
116,18
117,17
118,27
119,29
120,33
121,26
122,33
123,23
124,28
125,25
126,26
127,24
128,22
129,19
130,27
131,28
132,20
133,15
134,29
135,26
136,24
137,22
138,24
139,25
140,17
141,31
142,22
143,23
144,24
145,17
146,25
147,28
148,27
149,23
150,26
151,28
152,24
153,24
154,18
155,27
156,24
157,33
158,22
159,24
160,32
161,28
162,22
163,18
164,32
165,22
166,24
167,30
168,19
169,24
170,32
171,24
172,23
173,26
174,24
175,23
176,22
177,26
178,21
179,25
180,27
181,22
182,24
183,29
184,25
185,22
186,32
187,22
188,33
189,31
190,25
191,26
192,20
193,24
194,29
195,20
196,18
197,24
198,27
199,33
200,30
