,0
-200,19
-199,27
-198,32
-197,22
-196,20
-195,21
-194,20
-193,25
-192,16
-191,20
-190,30
-189,21
-188,27
-187,14
-186,20
-185,18
-184,17
-183,25
-182,17
-181,18
-180,20
-179,28
-178,28
-177,17
-176,19
-175,17
-174,18
-173,27
-172,24
-171,21
-170,20
-169,10
-168,23
-167,27
-166,20
-165,26
-164,23
-163,16
-162,25
-161,25
-160,20
-159,16
-158,25
-157,19
-156,24
-155,21
-154,19
-153,21
-152,18
-151,22
-150,22
-149,23
-148,15
-147,23
-146,27
-145,7
-144,15
-143,18
-142,19
-141,23
-140,23
-139,21
-138,18
-137,19
-136,12
-135,17
-134,25
-133,17
-132,23
-131,21
-130,22
-129,21
-128,20
-127,15
-126,19
-125,13
-124,22
-123,7
-122,21
-121,19
-120,22
-119,25
-118,15
-117,17
-116,11
-115,14
-114,15
-113,21
-112,15
-111,25
-110,20
-109,20
-108,18
-107,15
-106,17
-105,18
-104,12
-103,20
-102,10
-101,18
-100,12
-99,15
-98,19
-97,13
-96,11
-95,25
-94,18
-93,16
-92,22
-91,12
-90,25
-89,27
-88,22
-87,19
-86,21
-85,23
-84,15
-83,24
-82,15
-81,17
-80,24
-79,15
-78,26
-77,19
-76,18
-75,16
-74,18
-73,7
-72,12
-71,23
-70,20
-69,14
-68,24
-67,15
-66,13
-65,26
-64,11
-63,26
-62,13
-61,11
-60,11
-59,18
-58,12
-57,10
-56,21
-55,14
-54,19
-53,15
-52,15
-51,17
-50,17
-49,13
-48,16
-47,24
-46,9
-45,18
-44,21
-43,12
-42,22
-41,12
-40,13
-39,13
-38,17
-37,9
-36,11
-35,17
-34,15
-33,9
-32,17
-31,20
-30,7
-29,13
-28,12
-27,11
-26,24
-25,17
-24,8
-23,12
-22,11
-21,17
-20,14
-19,16
-18,20
-17,32
-16,19
-15,30
-14,56
-13,55
-12,46
-11,42
-10,47
-9,49
-8,43
-7,34
-6,23
-5,20
-4,20
-3,2
-2,0
-1,0
