,0
-200,28
-199,47
-198,36
-197,33
-196,44
-195,38
-194,41
-193,30
-192,43
-191,42
-190,44
-189,34
-188,34
-187,39
-186,40
-185,34
-184,51
-183,52
-182,40
-181,36
-180,34
-179,42
-178,50
-177,42
-176,58
-175,40
-174,41
-173,42
-172,46
-171,52
-170,47
-169,43
-168,37
-167,31
-166,48
-165,40
-164,31
-163,36
-162,43
-161,36
-160,42
-159,37
-158,45
-157,48
-156,36
-155,47
-154,38
-153,42
-152,48
-151,39
-150,55
-149,35
-148,49
-147,36
-146,24
-145,37
-144,36
-143,51
-142,46
-141,35
-140,37
-139,43
-138,43
-137,46
-136,25
-135,38
-134,48
-133,50
-132,37
-131,41
-130,49
-129,41
-128,40
-127,35
-126,44
-125,33
-124,41
-123,47
-122,35
-121,37
-120,36
-119,50
-118,37
-117,41
-116,37
-115,38
-114,36
-113,42
-112,43
-111,49
-110,48
-109,35
-108,54
-107,40
-106,38
-105,41
-104,47
-103,48
-102,33
-101,34
-100,42
-99,40
-98,48
-97,41
-96,41
-95,39
-94,28
-93,39
-92,34
-91,44
-90,41
-89,41
-88,38
-87,43
-86,44
-85,46
-84,34
-83,42
-82,50
-81,39
-80,35
-79,41
-78,32
-77,32
-76,41
-75,36
-74,47
-73,49
-72,41
-71,45
-70,42
-69,33
-68,31
-67,37
-66,34
-65,49
-64,39
-63,35
-62,37
-61,44
-60,35
-59,37
-58,32
-57,35
-56,47
-55,37
-54,34
-53,40
-52,41
-51,32
-50,37
-49,35
-48,32
-47,38
-46,38
-45,38
-44,36
-43,51
-42,38
-41,42
-40,43
-39,33
-38,35
-37,46
-36,38
-35,33
-34,41
-33,33
-32,38
-31,38
-30,23
-29,36
-28,34
-27,37
-26,43
-25,40
-24,40
-23,38
-22,43
-21,40
-20,43
-19,58
-18,62
-17,76
-16,100
-15,80
-14,24
-13,16
-12,13
-11,24
-10,41
-9,68
-8,102
-7,76
-6,72
-5,51
-4,38
-3,45
-2,1
-1,0
