Type	Complement Status	Start	End	Gene/Locus Tag	Strand Present?	Position(s)	Position(s) 2	Position(s) 3	Position(s) 4	Position(s) 5	Position(s) 6	Position(s) 7	Position(s) 8	Position(s) 9	
CDS	Not Complement	0	197	dnaA	Yes	130	193								
CDS	Not Complement	1517	1717	dnaN	Yes	1529	1549								
CDS	Not Complement	2718	2918	SPNHU17_RS00015	Yes	2749	2859	2900	2906						
CDS	Not Complement	2996	3196	ychF	Yes	3005	3090	3174	3179	3194					
CDS	Not Complement	4182	4382	pth	Yes	4206	4219	4259	4343	4371	4376				
CDS	Not Complement	4752	4952	mfd	Yes	4915	4927								
CDS	Not Complement	8319	8519	SPNHU17_RS00035	Yes	8377	8387	8417	8450						
CDS	Not Complement	8578	8778	SPNHU17_RS00040	Yes	8644	8663	8710	8750	8762	8777				
CDS	Not Complement	9066	9266	SPNHU17_RS00045	Yes	9111	9157	9202	9253	9259					
CDS	Not Complement	10331	10531	tilS											
CDS	Not Complement	11612	11812	hpt	Yes	11627	11658	11671	11678	11710	11760	11794			
CDS	Not Complement	12170	12370	ftsH	Yes	12226	12298	12333	12357						
tRNA	Not Complement	14312	14512	SPNHU17_RS00065	Yes	14323	14474	14500							
rRNA	Not Complement	14636	14836	SPNHU17_RS00070	Yes	14664	14726	14789	14817						
tRNA	Not Complement	16233	16433	SPNHU17_RS00075											
rRNA	Not Complement	16430	16630	SPNHU17_RS00080	Yes	16539	16571	16582	16616	16625					
rRNA	Not Complement	19408	19608	rrf	Yes	19550									
tRNA	Not Complement	19629	19829	SPNHU17_RS00090											
CDS	Complement	20825	21025	SPNHU17_RS00095	Yes	20847	20943								
CDS	Not Complement	20891	21091	comW	Yes	21076									
CDS	Not Complement	21358	21558	SPNHU17_RS00105	Yes	21372	21425	21529							
CDS	Complement	24528	24728	SPNHU17_RS00110	Yes	24620									
CDS	Complement	25640	25840	SPNHU17_RS00115											
CDS	Complement	26036	26236	SPNHU17_RS00120											
CDS	Complement	26411	26611	SPNHU17_RS00125	Yes	26559									
CDS	Complement	27010	27210	SPNHU17_RS00130											
CDS	Not Complement	26929	27129	SPNHU17_RS00135											
CDS	Not Complement	27087	27287	SPNHU17_RS00140	Yes	27258	27264	27272	27278	27285					
CDS	Not Complement	27433	27633	SPNHU17_RS00145	Yes	27443	27470	27483	27513	27537	27595	27614			
CDS	Not Complement	28162	28362	SPNHU17_RS00150	Yes	28316	28325	28358							
CDS	Not Complement	28505	28705	SPNHU17_RS00155	Yes	28574									
CDS	Not Complement	28841	29041	SPNHU17_RS00160	Yes	28903									
CDS	Not Complement	29131	29331	SPNHU17_RS00165	Yes	29140	29191	29248							
CDS	Not Complement	29907	30107	SPNHU17_RS00170	Yes	29984	29990	30046							
CDS	Not Complement	30059	30259	SPNHU17_RS00175	Yes	30172	30224								
CDS	Not Complement	30844	31044	SPNHU17_RS00180	Yes	30927									
CDS	Not Complement	31038	31238	SPNHU17_RS00185	Yes	31145									
CDS	Not Complement	31278	31478	SPNHU17_RS00190	Yes	31465									
CDS	Not Complement	31459	31659	SPNHU17_RS00195	Yes	31516	31618	31639							
CDS	Not Complement	31769	31969	SPNHU17_RS00200	Yes	31776	31788	31794	31856	31862	31888				
CDS	Not Complement	32342	32542	SPNHU17_RS00205	Yes	32395	32503	32530							
CDS	Not Complement	33425	33625	SPNHU17_RS00210	Yes	33491	33582	33602							
CDS	Not Complement	33768	33968	SPNHU17_RS00215	Yes	33808	33948	33962							
CDS	Not Complement	34246	34446	SPNHU17_RS00220	Yes	34271	34286	34346	34388	34421					
CDS	Not Complement	35967	36167	SPNHU17_RS00225	Yes	35972	36063	36075	36123						
CDS	Not Complement	37156	37356	SPNHU17_RS00230	Yes	37220	37265	37301	37334	37344					
CDS	Not Complement	37713	37913	SPNHU17_RS00235	Yes	37752	37761	37909							
CDS	Not Complement	38992	39192	SPNHU17_RS00240	Yes	39151	39179								
CDS	Not Complement	39324	39524	SPNHU17_RS00245	Yes	39336	39381	39445							
CDS	Not Complement	39629	39829	SPNHU17_RS00250	Yes	39754	39826								
CDS	Not Complement	39963	40163	SPNHU17_RS00255	Yes	40007	40044								
CDS	Not Complement	40321	40521	SPNHU17_RS00260	Yes	40357	40385	40463	40483						
CDS	Not Complement	40991	41191	SPNHU17_RS00265	Yes	40992	41055	41132							
CDS	Not Complement	41654	41854	SPNHU17_RS00270	Yes	41676	41700	41727	41781	41792	41842	41850			
CDS	Not Complement	44389	44589	SPNHU17_RS00275	Yes	44564									
CDS	Not Complement	45112	45312	SPNHU17_RS00280	Yes	45123	45200	45236	45285						
CDS	Not Complement	46972	47172	SPNHU17_RS00285											
CDS	Not Complement	47896	48096	SPNHU17_RS00290											
CDS	Not Complement	49053	49253	SPNHU17_RS00295											
CDS	Not Complement	52144	52344	SPNHU17_RS00300	Yes	52227	52238	52307	52314	52343					
CDS	Not Complement	52350	52550	SPNHU17_RS00305	Yes	52392	52425								
CDS	Not Complement	52710	52910	SPNHU17_RS00310	Yes	52757	52843								
CDS	Not Complement	53130	53330	SPNHU17_RS00315	Yes	53153	53225	53247	53297	53314					
CDS	Not Complement	53466	53666	SPNHU17_RS00320	Yes	53531	53653								
CDS	Complement	54951	55151	SPNHU17_RS00325											
CDS	Complement	55242	55442	SPNHU17_RS00330	Yes	55297									
CDS	Not Complement	55640	55840	tadA	Yes	55828	55835								
ncRNA	Not Complement	56140	56340	SRP_RNA	Yes	56169	56239	56291	56301						
CDS	Not Complement	56293	56493	SPNHU17_RS00345	Yes	56482	56489								
CDS	Not Complement	56738	56938	SPNHU17_RS00350	Yes	56764	56773								
CDS	Not Complement	57267	57467	radA	Yes	57307									
CDS	Not Complement	58701	58901	SPNHU17_RS00360	Yes	58772	58813	58868							
CDS	Not Complement	59219	59419	SPNHU17_RS00365	Yes	59414	59418								
CDS	Not Complement	60179	60379	SPNHU17_RS00370	Yes	60213	60299	60334	60345	60376					
CDS	Complement	62816	63016	SPNHU17_RS10810	Yes	62848	62874	62895	63002	63012					
CDS	Not Complement	62872	63072	polA											
CDS	Not Complement	65590	65790	SPNHU17_RS00395	Yes	65609	65621	65776							
CDS	Complement	67950	68150	SPNHU17_RS00400	Yes	68000	68013	68020	68085						
CDS	Not Complement	67899	68099	SPNHU17_RS00405											
CDS	Not Complement	69065	69265	recO	Yes	69238									
CDS	Not Complement	69832	70032	plsX	Yes	69981	70027								
