,0
1,11
2,15
3,12
4,14
5,16
6,14
7,14
8,14
9,11
10,11
11,15
12,17
13,12
14,21
15,11
16,20
17,24
18,10
19,10
20,15
21,17
22,14
23,19
24,24
25,7
26,16
27,18
28,16
29,13
30,11
31,10
32,15
33,11
34,14
35,16
36,14
37,13
38,11
39,23
40,19
41,29
42,19
43,18
44,15
45,25
46,17
47,15
48,16
49,14
50,21
51,12
52,19
53,23
54,12
55,13
56,18
57,19
58,21
59,18
60,20
61,19
62,21
63,19
64,14
65,11
66,13
67,9
68,20
69,23
70,18
71,11
72,15
73,18
74,13
75,19
76,11
77,13
78,19
79,18
80,23
81,23
82,14
83,14
84,16
85,9
86,20
87,15
88,16
89,16
90,20
91,22
92,22
93,22
94,18
95,19
96,21
97,19
98,15
99,20
100,16
101,18
102,21
103,15
104,20
105,13
106,16
107,19
108,15
109,22
110,24
111,17
112,19
113,18
114,14
115,22
116,15
117,12
118,18
119,9
120,24
121,15
122,14
123,24
124,26
125,13
126,14
127,23
128,15
129,21
130,22
131,18
132,22
133,16
134,18
135,24
136,14
137,25
138,18
139,20
140,15
141,23
142,20
143,20
144,23
145,23
146,15
147,17
148,17
149,18
150,18
151,21
152,19
153,24
154,24
155,19
156,17
157,15
158,19
159,18
160,26
161,30
162,19
163,14
164,23
165,25
166,16
167,21
168,22
169,16
170,19
171,20
172,15
173,26
174,26
175,21
176,18
177,23
178,19
179,21
180,23
181,24
182,27
183,24
184,21
185,17
186,26
187,20
188,21
189,23
190,24
191,29
192,27
193,23
194,23
195,23
196,27
197,21
198,12
199,18
200,17
