,0
-200,36
-199,29
-198,15
-197,17
-196,14
-195,27
-194,17
-193,24
-192,29
-191,26
-190,18
-189,26
-188,23
-187,23
-186,20
-185,25
-184,12
-183,21
-182,30
-181,26
-180,20
-179,16
-178,18
-177,44
-176,27
-175,17
-174,27
-173,21
-172,21
-171,21
-170,23
-169,29
-168,25
-167,21
-166,33
-165,27
-164,20
-163,26
-162,18
-161,20
-160,23
-159,24
-158,32
-157,17
-156,21
-155,21
-154,17
-153,18
-152,21
-151,16
-150,28
-149,23
-148,24
-147,40
-146,26
-145,17
-144,22
-143,33
-142,22
-141,20
-140,30
-139,22
-138,18
-137,29
-136,21
-135,27
-134,20
-133,20
-132,16
-131,35
-130,22
-129,23
-128,22
-127,28
-126,25
-125,23
-124,29
-123,27
-122,25
-121,19
-120,18
-119,19
-118,33
-117,18
-116,22
-115,21
-114,20
-113,21
-112,13
-111,33
-110,20
-109,28
-108,29
-107,26
-106,20
-105,17
-104,25
-103,17
-102,19
-101,25
-100,23
-99,31
-98,26
-97,18
-96,20
-95,28
-94,27
-93,21
-92,31
-91,19
-90,10
-89,25
-88,30
-87,16
-86,22
-85,18
-84,19
-83,19
-82,15
-81,14
-80,29
-79,25
-78,11
-77,17
-76,23
-75,25
-74,23
-73,26
-72,16
-71,16
-70,22
-69,27
-68,23
-67,16
-66,17
-65,23
-64,24
-63,22
-62,25
-61,18
-60,30
-59,20
-58,15
-57,16
-56,25
-55,32
-54,26
-53,21
-52,29
-51,25
-50,19
-49,17
-48,25
-47,22
-46,17
-45,24
-44,15
-43,18
-42,15
-41,17
-40,22
-39,23
-38,29
-37,19
-36,15
-35,23
-34,22
-33,17
-32,27
-31,20
-30,22
-29,22
-28,21
-27,26
-26,24
-25,24
-24,22
-23,32
-22,9
-21,30
-20,19
-19,20
-18,20
-17,34
-16,36
-15,48
-14,59
-13,58
-12,43
-11,64
-10,52
-9,74
-8,122
-7,66
-6,49
-5,53
-4,26
-3,66
-2,1
-1,4
