,0
-200,19
-199,24
-198,23
-197,16
-196,28
-195,22
-194,23
-193,19
-192,31
-191,17
-190,27
-189,22
-188,17
-187,21
-186,13
-185,21
-184,22
-183,18
-182,17
-181,21
-180,18
-179,16
-178,16
-177,20
-176,21
-175,9
-174,19
-173,27
-172,23
-171,9
-170,18
-169,25
-168,16
-167,27
-166,19
-165,15
-164,20
-163,17
-162,16
-161,27
-160,15
-159,14
-158,19
-157,24
-156,14
-155,19
-154,16
-153,23
-152,24
-151,23
-150,22
-149,21
-148,25
-147,15
-146,22
-145,20
-144,11
-143,21
-142,22
-141,22
-140,16
-139,20
-138,16
-137,17
-136,13
-135,17
-134,21
-133,15
-132,20
-131,22
-130,32
-129,13
-128,30
-127,13
-126,17
-125,15
-124,21
-123,22
-122,30
-121,22
-120,18
-119,12
-118,14
-117,20
-116,21
-115,19
-114,9
-113,19
-112,21
-111,15
-110,19
-109,16
-108,16
-107,17
-106,29
-105,23
-104,16
-103,28
-102,20
-101,19
-100,18
-99,19
-98,19
-97,20
-96,12
-95,17
-94,15
-93,18
-92,20
-91,17
-90,20
-89,20
-88,12
-87,11
-86,18
-85,19
-84,19
-83,23
-82,16
-81,19
-80,25
-79,16
-78,19
-77,25
-76,21
-75,13
-74,18
-73,15
-72,18
-71,19
-70,21
-69,11
-68,11
-67,13
-66,23
-65,18
-64,12
-63,18
-62,17
-61,12
-60,13
-59,21
-58,14
-57,17
-56,17
-55,12
-54,12
-53,14
-52,19
-51,23
-50,21
-49,17
-48,17
-47,22
-46,18
-45,11
-44,16
-43,16
-42,14
-41,17
-40,23
-39,8
-38,15
-37,15
-36,13
-35,11
-34,15
-33,11
-32,11
-31,17
-30,7
-29,22
-28,15
-27,10
-26,6
-25,14
-24,12
-23,8
-22,14
-21,10
-20,14
-19,23
-18,18
-17,35
-16,66
-15,45
-14,48
-13,31
-12,40
-11,41
-10,27
-9,25
-8,31
-7,32
-6,21
-5,13
-4,6
-3,9
-2,0
-1,0
