,0
-200,17
-199,22
-198,17
-197,14
-196,16
-195,15
-194,20
-193,19
-192,22
-191,23
-190,23
-189,18
-188,17
-187,18
-186,16
-185,21
-184,19
-183,9
-182,30
-181,21
-180,20
-179,19
-178,19
-177,22
-176,23
-175,31
-174,18
-173,22
-172,18
-171,20
-170,17
-169,23
-168,21
-167,13
-166,23
-165,18
-164,16
-163,24
-162,22
-161,19
-160,24
-159,29
-158,17
-157,16
-156,21
-155,27
-154,17
-153,14
-152,17
-151,22
-150,16
-149,16
-148,15
-147,15
-146,13
-145,21
-144,15
-143,21
-142,23
-141,21
-140,25
-139,26
-138,17
-137,17
-136,11
-135,14
-134,17
-133,28
-132,12
-131,16
-130,20
-129,19
-128,22
-127,16
-126,9
-125,21
-124,24
-123,21
-122,24
-121,13
-120,23
-119,19
-118,15
-117,18
-116,22
-115,19
-114,11
-113,22
-112,15
-111,17
-110,20
-109,18
-108,20
-107,21
-106,22
-105,27
-104,28
-103,16
-102,18
-101,19
-100,21
-99,12
-98,19
-97,29
-96,16
-95,21
-94,18
-93,17
-92,24
-91,26
-90,27
-89,20
-88,23
-87,20
-86,21
-85,23
-84,22
-83,18
-82,27
-81,21
-80,29
-79,16
-78,24
-77,22
-76,22
-75,15
-74,14
-73,26
-72,23
-71,28
-70,22
-69,28
-68,28
-67,23
-66,24
-65,20
-64,18
-63,11
-62,20
-61,27
-60,21
-59,26
-58,19
-57,18
-56,27
-55,24
-54,19
-53,22
-52,20
-51,16
-50,27
-49,14
-48,17
-47,18
-46,18
-45,26
-44,15
-43,23
-42,11
-41,19
-40,23
-39,18
-38,16
-37,25
-36,18
-35,11
-34,10
-33,26
-32,21
-31,21
-30,20
-29,17
-28,23
-27,18
-26,29
-25,27
-24,20
-23,23
-22,21
-21,28
-20,33
-19,43
-18,60
-17,75
-16,69
-15,51
-14,29
-13,7
-12,3
-11,15
-10,32
-9,43
-8,52
-7,43
-6,60
-5,23
-4,19
-3,44
-2,1
-1,0
