,0
-200,61
-199,74
-198,64
-197,73
-196,66
-195,62
-194,64
-193,50
-192,64
-191,64
-190,70
-189,53
-188,73
-187,71
-186,71
-185,69
-184,52
-183,59
-182,72
-181,64
-180,68
-179,66
-178,68
-177,79
-176,65
-175,50
-174,58
-173,74
-172,65
-171,58
-170,68
-169,69
-168,73
-167,65
-166,72
-165,53
-164,66
-163,54
-162,52
-161,76
-160,52
-159,55
-158,71
-157,59
-156,62
-155,51
-154,52
-153,68
-152,75
-151,77
-150,57
-149,52
-148,67
-147,71
-146,80
-145,59
-144,58
-143,55
-142,60
-141,70
-140,83
-139,58
-138,64
-137,65
-136,69
-135,70
-134,74
-133,59
-132,76
-131,62
-130,65
-129,48
-128,62
-127,67
-126,68
-125,73
-124,71
-123,60
-122,81
-121,86
-120,61
-119,63
-118,79
-117,63
-116,80
-115,74
-114,69
-113,82
-112,72
-111,78
-110,77
-109,65
-108,63
-107,66
-106,58
-105,67
-104,72
-103,63
-102,67
-101,75
-100,56
-99,71
-98,81
-97,82
-96,82
-95,66
-94,62
-93,80
-92,65
-91,49
-90,68
-89,67
-88,57
-87,80
-86,67
-85,80
-84,78
-83,59
-82,73
-81,68
-80,83
-79,65
-78,72
-77,72
-76,64
-75,64
-74,68
-73,70
-72,61
-71,73
-70,63
-69,62
-68,80
-67,55
-66,61
-65,71
-64,69
-63,72
-62,59
-61,71
-60,80
-59,78
-58,81
-57,72
-56,62
-55,53
-54,87
-53,77
-52,68
-51,67
-50,70
-49,72
-48,64
-47,74
-46,76
-45,55
-44,61
-43,64
-42,57
-41,80
-40,66
-39,58
-38,65
-37,81
-36,70
-35,71
-34,76
-33,78
-32,83
-31,78
-30,87
-29,81
-28,85
-27,75
-26,77
-25,76
-24,88
-23,90
-22,81
-21,94
-20,117
-19,138
-18,173
-17,190
-16,217
-15,117
-14,48
-13,21
-12,25
-11,37
-10,73
-9,140
-8,183
-7,151
-6,169
-5,91
-4,85
-3,184
-2,1
-1,2
