,0
1,12
2,19
3,25
4,19
5,16
6,24
7,15
8,27
9,31
10,12
11,18
12,19
13,22
14,22
15,19
16,26
17,16
18,21
19,17
20,25
21,15
22,28
23,17
24,20
25,11
26,15
27,20
28,16
29,18
30,19
31,12
32,19
33,26
34,28
35,11
36,17
37,26
38,14
39,23
40,15
41,17
42,19
43,21
44,20
45,12
46,10
47,13
48,21
49,10
50,28
51,19
52,18
53,16
54,18
55,21
56,24
57,24
58,15
59,25
60,25
61,14
62,18
63,18
64,20
65,22
66,26
67,15
68,20
69,22
70,20
71,25
72,23
73,23
74,32
75,16
76,20
77,27
78,16
79,13
80,15
81,24
82,15
83,23
84,23
85,15
86,26
87,21
88,15
89,14
90,28
91,17
92,20
93,23
94,20
95,31
96,27
97,21
98,23
99,26
100,18
101,23
102,25
103,19
104,12
105,28
106,13
107,14
108,21
109,17
110,30
111,22
112,16
113,14
114,25
115,25
116,26
117,18
118,28
119,20
120,17
121,22
122,15
123,36
124,23
125,25
126,24
127,11
128,23
129,20
130,19
131,27
132,24
133,22
134,14
135,25
136,29
137,27
138,23
139,19
140,28
141,21
142,13
143,17
144,26
145,23
146,25
147,24
148,24
149,28
150,19
151,19
152,26
153,25
154,20
155,17
156,25
157,22
158,28
159,27
160,23
161,22
162,24
163,24
164,19
165,18
166,10
167,30
168,38
169,17
170,23
171,28
172,21
173,22
174,23
175,23
176,45
177,30
178,23
179,22
180,30
181,25
182,37
183,31
184,21
185,21
186,21
187,16
188,20
189,25
190,22
191,17
192,31
193,28
194,36
195,30
196,25
197,24
198,27
199,23
200,24
