,0
-200,24
-199,22
-198,17
-197,20
-196,22
-195,23
-194,29
-193,26
-192,24
-191,20
-190,19
-189,28
-188,17
-187,31
-186,24
-185,25
-184,20
-183,19
-182,21
-181,18
-180,25
-179,17
-178,21
-177,20
-176,41
-175,27
-174,20
-173,28
-172,22
-171,26
-170,22
-169,24
-168,17
-167,21
-166,28
-165,23
-164,30
-163,22
-162,29
-161,21
-160,29
-159,27
-158,31
-157,23
-156,31
-155,27
-154,29
-153,17
-152,19
-151,22
-150,25
-149,25
-148,25
-147,17
-146,29
-145,23
-144,30
-143,23
-142,27
-141,18
-140,25
-139,22
-138,16
-137,22
-136,24
-135,28
-134,31
-133,17
-132,25
-131,21
-130,29
-129,24
-128,27
-127,24
-126,29
-125,28
-124,36
-123,21
-122,26
-121,24
-120,34
-119,27
-118,25
-117,30
-116,44
-115,26
-114,22
-113,25
-112,27
-111,25
-110,19
-109,27
-108,16
-107,27
-106,27
-105,25
-104,30
-103,26
-102,24
-101,28
-100,29
-99,21
-98,25
-97,26
-96,31
-95,28
-94,20
-93,30
-92,27
-91,26
-90,28
-89,31
-88,28
-87,29
-86,20
-85,25
-84,22
-83,35
-82,25
-81,23
-80,22
-79,21
-78,26
-77,25
-76,33
-75,26
-74,38
-73,34
-72,30
-71,28
-70,32
-69,28
-68,21
-67,22
-66,19
-65,33
-64,18
-63,33
-62,28
-61,25
-60,28
-59,31
-58,25
-57,30
-56,22
-55,24
-54,22
-53,29
-52,27
-51,21
-50,24
-49,26
-48,32
-47,27
-46,24
-45,22
-44,25
-43,20
-42,24
-41,24
-40,31
-39,12
-38,22
-37,30
-36,32
-35,30
-34,25
-33,30
-32,29
-31,28
-30,27
-29,35
-28,30
-27,29
-26,25
-25,23
-24,28
-23,34
-22,38
-21,27
-20,36
-19,56
-18,63
-17,100
-16,88
-15,61
-14,15
-13,11
-12,10
-11,17
-10,30
-9,51
-8,53
-7,44
-6,50
-5,21
-4,32
-3,41
-2,0
-1,0
