,0
1,19
2,41
3,27
4,34
5,40
6,43
7,34
8,30
9,35
10,31
11,26
12,29
13,38
14,38
15,44
16,40
17,45
18,26
19,29
20,40
21,27
22,27
23,31
24,26
25,26
26,24
27,32
28,31
29,31
30,34
31,24
32,28
33,26
34,18
35,19
36,27
37,19
38,12
39,21
40,17
41,22
42,24
43,23
44,25
45,19
46,22
47,33
48,29
49,22
50,25
51,18
52,25
53,26
54,26
55,34
56,21
57,28
58,14
59,16
60,22
61,24
62,26
63,34
64,23
65,25
66,20
67,19
68,22
69,30
70,22
71,20
72,29
73,21
74,19
75,27
76,29
77,18
78,26
79,19
80,19
81,18
82,23
83,26
84,26
85,20
86,33
87,33
88,26
89,24
90,19
91,14
92,23
93,32
94,26
95,25
96,20
97,10
98,19
99,28
100,18
101,16
102,19
103,16
104,19
105,28
106,23
107,29
108,21
109,26
110,25
111,33
112,17
113,28
114,26
115,18
116,30
117,20
118,16
119,37
120,26
121,25
122,30
123,23
124,22
125,22
126,23
127,21
128,19
129,24
130,24
131,29
132,28
133,14
134,23
135,26
136,20
137,16
138,26
139,19
140,29
141,30
142,20
143,30
144,27
145,23
146,22
147,21
148,20
149,31
150,22
151,23
152,27
153,20
154,14
155,17
156,18
157,33
158,20
159,18
160,20
161,21
162,28
163,28
164,28
165,15
166,21
167,21
168,30
169,19
170,21
171,28
172,26
173,26
174,29
175,31
176,27
177,26
178,26
179,21
180,17
181,18
182,18
183,29
184,19
185,18
186,19
187,20
188,29
189,32
190,29
191,24
192,26
193,22
194,22
195,21
196,23
197,21
198,31
199,16
200,26
